model,dataset,best_train_acc,best_val_acc,ptq_val_acc,qat_val_acc,fp32_fps,ptq_fps,qat_fps,wall_time_min,status
cnn,CIFAR10,82.49,80.03,66.06,85.22,1025.9,403.1,396.8,5.1,ok
resnet18_no_weights,CIFAR10,90.00,84.69,82.31,90.67,307.6,79.3,79.9,12.1,ok
resnet50_no_weights,CIFAR10,82.71,80.56,11.73,84.69,135.1,27.0,27.3,27.1,ok
