epoch,total_s,train_s,val_s
1,4.142,3.317,0.824
2,3.827,3.032,0.795
3,3.769,2.988,0.781
4,3.802,3.015,0.788
5,3.726,2.95,0.775
6,3.801,2.988,0.812
7,3.763,2.969,0.794
8,3.751,2.98,0.771
9,3.589,2.81,0.78
10,3.825,3.0,0.825
11,3.747,2.952,0.795
12,3.846,3.064,0.782
13,3.682,2.91,0.772
14,3.693,2.891,0.803
15,3.713,2.922,0.791
16,3.766,2.972,0.795
17,3.796,3.036,0.76
18,3.827,3.027,0.8
19,3.738,2.958,0.78
20,3.657,2.878,0.78
21,3.643,2.877,0.766
22,3.719,2.95,0.769
23,3.632,2.844,0.788
24,3.786,3.002,0.784
25,3.775,2.984,0.791
26,3.791,3.0,0.791
27,3.671,2.89,0.781
28,3.6,2.836,0.765
29,3.666,2.885,0.782
