layer,mse
conv1,7.623676765433629e-07
conv2,1.7156604599222192e-06
conv3,2.8619890599657083e-06
conv4,2.3379809590551304e-06
fc1,2.5001188532769447e-06
fc2,2.468501406838186e-06
