config_name,method,bits,accuracy,inference_time,model_size_mb,drop_percentage
Baseline (Float32),float,32,80.45,52.06381416320801,5.524696350097656,0.0
Affine_PTQ,affine,8,80.08,14.706259965896606,1.4453163146972656,0.37000000000000455
Symmetric_PTQ,symmetric,8,77.45,14.605727672576904,1.4698114395141602,3.0
PoT_PTQ,pot_manual,8,78.81,14.589600801467896,1.469374656677246,1.6400000000000006
