layer,accuracy,inference_time
conv1,60.557184750733136,5.757009506225586
conv2,92.44868035190616,5.7449095249176025
conv3,92.66862170087977,5.778675317764282
conv4,92.30205278592375,5.732704401016235
fc1,92.37536656891496,5.72782826423645
fc2,92.22873900293256,5.6774091720581055
