layer,mse
conv1,4.1137775497190887e-07
conv2,4.146922094605543e-07
conv3,8.40535506085871e-07
conv4,1.0927954008366214e-06
fc1,1.1834127917609294e-06
fc2,2.0170959942333866e-06
