layer,mse
conv1,3.1004842071524763e-07
conv2,1.8105998833561898e-07
conv3,1.63246994588917e-07
conv4,1.3416713784408785e-07
fc1,1.3901234297009069e-07
fc2,1.5101508665793517e-07
