layer_name,avg_mse,sqnr_db,kl_divergence,acc_drop,f1_drop,precision_drop,recall_drop
quant,1.4916254e-06,48.432877,5.124126213437094,0.0,0.0,0.0,0.0
conv1,2.9184399e-05,33.585194,6.34702775131773,-0.010000000000005116,-9.700965950365514e-05,-9.461069883442974e-05,-9.727626459132832e-05
conv2,2.1562759e-05,30.581158,5.404957231413637,0.0,0.0,0.0,0.0
conv3,1.9640804e-06,28.052557,0.25246988277154414,-0.010000000000005116,-9.700965950365514e-05,-9.461069883442974e-05,-9.727626459132832e-05
conv4,0.0002179059,29.166925,2.5512566039165323,-0.010000000000005116,-9.700965950365514e-05,-9.461069883442974e-05,-9.727626459132832e-05
fc1,9.04504e-05,32.43863,5.068147423077547,0.010000000000005116,9.183991628314292e-05,9.48308168821077e-05,8.810572687223406e-05
fc2,0.0058648665,37.937897,17.621575635556436,0.0,0.0,0.0,0.0
