layer,accuracy,inference_time
conv1,83.03393213572855,0.9353876113891602
conv2,84.03193612774452,1.0143768787384033
conv3,84.03193612774452,0.9083731174468994
conv4,83.83233532934132,0.8105058670043945
fc1,84.03193612774452,0.844078779220581
fc2,84.03193612774452,0.8569989204406738
