config_name,method,bits,accuracy,inference_time,model_size_mb,drop_percentage
Baseline (Float32),float,32,91.20234604105572,7.5355894565582275,6.072105407714844,0.0
Affine_PTQ,affine,8,90.6891495601173,3.482663869857788,1.5460453033447266,0.5131964809384186
Symmetric_PTQ,symmetric,8,88.78299120234604,3.464737892150879,1.5740365982055664,2.4193548387096797
PoT_PTQ,pot_manual,8,90.02932551319648,3.4613068103790283,1.5736722946166992,1.1730205278592365
