model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",0.47904702213903266,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",0.43088747983177506,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",0.3165966011583805,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",0.4088437010430627,aggregate,3,0.08343848606405824
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",5.077800635496775,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",5.3298408720228405,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",5.988842674096426,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",5.465494727205347,aggregate,3,0.4704262698270147
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",42.128076487574084,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",37.96437123616536,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",46.87480445702871,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",42.32241739358938,aggregate,3,4.458394479706728
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",12.048134767092192,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",13.690486749013266,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",14.020926427841186,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",13.253182647982214,aggregate,3,1.0565996837800613
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",21.833072185516357,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",21.614593305085833,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",25.143266868591308,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",22.863644119731166,aggregate,3,1.9772311860627338
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",1.1513584926724434,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",1.810522709203803,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",1.6733082473278045,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",1.5450631497346836,aggregate,3,0.3477922797897505
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",39.963521455463614,42,3,
