model,dataset,stage,layer,mse,sqnr
resnet50_no_weights,IMAGENET100,PTQ,conv1.weight,0.002898093778640032,1.9592169177910308
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,0.0006261896342039108,5.024960979236857
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,7.222807471407577e-05,5.345921153348664
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv3.weight,1.987333598663099e-05,12.240982641920027
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.downsample.0.weight,0.00041227834299206734,3.0740261487683957
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,3.5455741453915834e-05,1.7597262065780277
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,0.00012270043953321874,-5.318280778925932
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv3.weight,1.611075276741758e-05,3.4546592932390787
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv1.weight,6.135414878372103e-05,-1.7522227308717995
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv2.weight,3.140700573567301e-05,-3.4703527377021466
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv3.weight,1.545033410366159e-05,-6.3253316782141855
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,4.895342135569081e-05,4.274710972203787
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,0.00010440414916956797,0.2064359407747034
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv3.weight,1.469289964006748e-05,11.246583859787274
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,0.00011911884939763695,0.8411169052115575
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,3.84598461096175e-05,0.8061510948969907
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,0.0002314956218469888,-5.646352771540254
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv3.weight,1.331071416643681e-05,7.855401785646013
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv1.weight,7.058193295961246e-05,2.1880362237882265
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv2.weight,0.00011811588046839461,0.7849691934878058
