model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,1.358512051478069,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,0.9953052135773808,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv2,0.15202944034591415,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv3,0.5266686478487346,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.downsample.0,0.7311746099091123,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv1,-0.722763122234424,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv2,0.05718494603436808,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv3,-0.02554935196578212,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv1,-1.0840851639446898,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv2,-1.3105782958727517,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,-0.8875451238318357,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,-0.07894228474107878,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,0.47016577569484097,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,0.1737153538427827,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,0.19661003790197285,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,-0.7243766382648076,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,0.5208961838298269,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,0.06951818795535969,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,-0.20132799265370593,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,0.15257872727307875,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,0.18674788863097103,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,0.13930506800644027,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,0.05107501573226436,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,-0.0788396565634839,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv1,0.6192685359875596,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv2,0.13581632708051705,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv3,0.2960269351846052,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.downsample.0,0.3584417361444485,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv1,-0.4788367151082067,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv2,-0.3642947159257517,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv3,-0.0687937284053941,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.2.conv1,-0.7144353959393808,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.2.conv2,-0.3004767011587264,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.2.conv3,-0.2418116030748907,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.3.conv1,-0.3321994330582161,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.3.conv2,-0.3455238575104129,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.3.conv3,-0.1570821878703894,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.4.conv1,-0.27890850511774357,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.4.conv2,-0.2392785357216951,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.4.conv3,-0.22399601985698592,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.5.conv1,-0.02553443305310088,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.5.conv2,0.007045855595869455,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.5.conv3,0.09280620985248511,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.0.conv1,0.5219044756004232,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.0.conv2,0.1762805701424366,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.0.conv3,0.3297525811916895,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.0.downsample.0,0.2179011173506895,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.1.conv1,0.02817463091376915,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.1.conv2,0.1092224041470482,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.1.conv3,0.2543498272429394,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.2.conv1,0.5863912395197808,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.2.conv2,0.31055150042064295,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.2.conv3,-0.2686135660100275,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,fc,-0.6716280665525689,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,conv1,2.5644574752484495,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.0.conv1,0.4179522617315725,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.0.conv2,0.3290109859450423,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.0.conv3,0.43124470180426355,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.0.downsample.0,0.37061390324063037,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.1.conv1,-0.03935672719598626,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.1.conv2,-0.6509453453161105,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.1.conv3,-0.16169425746377408,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.2.conv1,-1.2159805092246772,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.2.conv2,-1.912200402031862,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.2.conv3,-1.0401875708855983,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.0.conv1,-0.3052604148619067,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.0.conv2,0.09424776768400278,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.0.conv3,0.2769594290439237,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.0.downsample.0,0.3774960573846249,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.1.conv1,0.1766593397627445,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.1.conv2,0.1736263191126972,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.1.conv3,0.14065679487908067,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.2.conv1,-0.3772489824437697,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.2.conv2,-0.034953807740938814,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.2.conv3,0.27445210027044764,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.3.conv1,-0.028524427622272697,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.3.conv2,-0.3985367347216613,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.3.conv3,-0.05871971872683224,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.0.conv1,0.44835002479713415,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.0.conv2,0.12095711527774533,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.0.conv3,0.57040375583522,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.0.downsample.0,0.17002506930839179,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.1.conv1,-0.13266420050776961,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.1.conv2,-0.41324829510310757,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.1.conv3,0.19279998787110308,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.2.conv1,-0.2284373951154528,1.0
