model,dataset,n_seeds,spearman_profile_rho,spearman_p,spike_layer,elev_random,elev_trained,verdict,bn_mode
resnet50_no_weights,IMAGENET100,3,0.5486182580522202,1.7467182352653465e-05,layer4.2.conv1.weight,5.346944629940257,8.206633834682227,mixed,default
resnet50_no_weights,IMAGENET100,3,0.17255574614065178,0.2121282290721045,layer4.2.conv1.weight,0.2191057647923809,8.206633834682227,learned,populated
resnet18_no_weights,IMAGENET100,3,0.3168831168831169,0.161633166892741,layer4.0.conv2.weight,9.244521782231212,3.5782359661108933,architectural,default
cnn,IMAGENET100,3,-0.08571428571428573,0.8717434402332361,conv3.weight,0.5099420969370074,7.193773005702854,learned,default
cnn,IMAGENET100,3,0.08571428571428573,0.8717434402332361,conv3.weight,0.7081915731388886,7.193773005702854,learned,populated
