model,dataset,stage,layer,trace
cnn,IMAGENET100,FP32,conv1.weight,32.1767066637675
cnn,IMAGENET100,FP32,conv2.weight,231.9695940653483
cnn,IMAGENET100,FP32,conv3.weight,486.3611187405056
cnn,IMAGENET100,FP32,conv4.weight,84.75954736982074
cnn,IMAGENET100,FP32,fc1.weight,54.09956910060002
cnn,IMAGENET100,FP32,fc2.weight,30.572564125061035
cnn,IMAGENET100,PTQ,conv1.weight,220.94236424763997
cnn,IMAGENET100,PTQ,conv2.weight,700.991611735026
cnn,IMAGENET100,PTQ,conv3.weight,871.7805126735142
cnn,IMAGENET100,PTQ,conv4.weight,11.156527042388916
cnn,IMAGENET100,PTQ,fc1.weight,57.32890059153239
cnn,IMAGENET100,PTQ,fc2.weight,33.99246993431678
cnn,IMAGENET100,QAT,conv1.weight,113.66825336880154
cnn,IMAGENET100,QAT,conv2.weight,592.8454313732329
cnn,IMAGENET100,QAT,conv3.weight,776.1581370035807
cnn,IMAGENET100,QAT,conv4.weight,8.902278971672057
cnn,IMAGENET100,QAT,fc1.weight,48.60792472145774
cnn,IMAGENET100,QAT,fc2.weight,32.65215782165527
resnet18_no_weights,IMAGENET100,FP32,conv1.weight,195.84618307043004
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,139.2472593943278
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,80.97811342875163
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,86.39363555908203
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,85.32032693227133
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,336.8175674438477
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,189.81851196289062
resnet18_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,159.46561584472656
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,160.58328908284506
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,128.42608617146809
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,302.8814936319987
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,323.7951904296875
resnet18_no_weights,IMAGENET100,FP32,layer3.0.downsample.0.weight,52.131582260131836
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv1.weight,150.32933451334637
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv2.weight,146.54965565999348
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv1.weight,486.910400390625
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv2.weight,476.09466552734375
resnet18_no_weights,IMAGENET100,FP32,layer4.0.downsample.0.weight,79.72896041870118
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv1.weight,418.65328216552734
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv2.weight,70.73002069646662
resnet18_no_weights,IMAGENET100,FP32,fc.weight,8.757203531265258
resnet18_no_weights,IMAGENET100,PTQ,conv1.weight,4493.735484730114
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,630.733144906851
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,68.56240615844726
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,327.5234573364258
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,31.26231493268694
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,1495.7442606608072
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,63.73404388427734
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,182.7526403573843
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,357.1783481944691
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,47.750089433458115
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,471.78673502604164
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,143.93573608398438
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,45.0386708577474
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,283.1654277128332
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,71.01635926564535
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,611.172885131836
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv2.weight,88.5456537882487
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0.weight,40.98063196454729
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv1.weight,219.5836082458496
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv2.weight,0.37986956238746644
resnet18_no_weights,IMAGENET100,PTQ,fc.weight,20.299171368281048
resnet18_no_weights,IMAGENET100,QAT,conv1.weight,2331.2035603841146
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv1.weight,277.63194732666017
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv2.weight,38.16552133560181
resnet18_no_weights,IMAGENET100,QAT,layer1.1.conv1.weight,129.37349354137075
resnet18_no_weights,IMAGENET100,QAT,layer1.1.conv2.weight,22.339941215515136
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv1.weight,1197.5564310709635
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv2.weight,37.374070930480954
resnet18_no_weights,IMAGENET100,QAT,layer2.0.downsample.0.weight,124.13280184515591
resnet18_no_weights,IMAGENET100,QAT,layer2.1.conv1.weight,184.04874781558388
resnet18_no_weights,IMAGENET100,QAT,layer2.1.conv2.weight,26.542948177882604
resnet18_no_weights,IMAGENET100,QAT,layer3.0.conv1.weight,282.58847427368164
resnet18_no_weights,IMAGENET100,QAT,layer3.0.conv2.weight,90.6146764755249
resnet18_no_weights,IMAGENET100,QAT,layer3.0.downsample.0.weight,21.43725570042928
resnet18_no_weights,IMAGENET100,QAT,layer3.1.conv1.weight,167.70126037597657
resnet18_no_weights,IMAGENET100,QAT,layer3.1.conv2.weight,29.98193941116333
resnet18_no_weights,IMAGENET100,QAT,layer4.0.conv1.weight,306.69281563392053
resnet18_no_weights,IMAGENET100,QAT,layer4.0.conv2.weight,75.85843880971272
resnet18_no_weights,IMAGENET100,QAT,layer4.0.downsample.0.weight,20.763761202494305
resnet18_no_weights,IMAGENET100,QAT,layer4.1.conv1.weight,138.50474319458007
resnet18_no_weights,IMAGENET100,QAT,layer4.1.conv2.weight,0.19824969675391912
resnet18_no_weights,IMAGENET100,QAT,fc.weight,8.93087702784045
resnet50_no_weights,IMAGENET100,FP32,conv1.weight,100.85774459838868
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,16.787907123565674
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,11.391906579335531
resnet50_no_weights,IMAGENET100,FP32,layer1.0.conv3.weight,11.656449904808632
resnet50_no_weights,IMAGENET100,FP32,layer1.0.downsample.0.weight,22.60441780090332
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,0.5653200695912043
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,7.334424082438151
resnet50_no_weights,IMAGENET100,FP32,layer1.1.conv3.weight,4.627997242171189
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv1.weight,0.32085395182172455
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv2.weight,0.3319214202463627
resnet50_no_weights,IMAGENET100,FP32,layer1.2.conv3.weight,0.5379336677491665
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,4.734607005119324
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,31.81114568710327
resnet50_no_weights,IMAGENET100,FP32,layer2.0.conv3.weight,15.485666751861572
resnet50_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,22.77772798538208
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,1.7954256646335125
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,37.108139769236246
resnet50_no_weights,IMAGENET100,FP32,layer2.1.conv3.weight,10.290159646670023
resnet50_no_weights,IMAGENET100,FP32,layer2.2.conv1.weight,5.2561481098334
