model,dataset,stage,accuracy,precision,recall,f1
cnn,IMAGENET100,FP32,43.03999841213226,48.66425693035126,43.03999841213226,40.94774127006531
cnn,IMAGENET100,PTQ,25.059998035430908,42.71438121795654,25.059998035430908,24.35092329978943
cnn,IMAGENET100,QAT,51.179999113082886,51.377713680267334,51.179999113082886,50.3818154335022
resnet18_no_weights,IMAGENET100,FP32,80.0599992275238,80.44987916946411,80.0599992275238,79.8723816871643
resnet18_no_weights,IMAGENET100,PTQ,71.29999995231628,75.09833574295044,71.29999995231628,71.37433886528015
resnet18_no_weights,IMAGENET100,QAT,82.52000212669373,82.78746008872986,82.52000212669373,82.4809730052948
resnet50_no_weights,IMAGENET100,FP32,80.01999855041504,80.73365688323975,80.01999855041504,79.7542929649353
resnet50_no_weights,IMAGENET100,PTQ,64.05999660491943,70.13072967529297,64.05999660491943,63.741129636764526
resnet50_no_weights,IMAGENET100,QAT,83.23999643325806,83.3605408668518,83.23999643325806,83.10844898223877
