model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
cnn,IMAGENET100,PTQ,cumulative_top_outlier,1,conv3,conv3,12.261226328826783,25.0,25.08,0.0799999999999983
cnn,IMAGENET100,PTQ,cumulative_top_outlier,2,conv4,conv3;conv4,10.241374388218311,25.0,24.84,-0.16000000000000014
cnn,IMAGENET100,PTQ,cumulative_top_outlier,3,conv2,conv3;conv4;conv2,7.48143180775814,25.0,25.52,0.5199999999999996
cnn,IMAGENET100,PTQ,cumulative_top_outlier,4,conv1,conv3;conv4;conv2;conv1,6.412026029623246,25.0,25.48,0.4800000000000004
cnn,IMAGENET100,PTQ,cumulative_top_outlier,5,fc1,conv3;conv4;conv2;conv1;fc1,3.5750523927630997,25.0,25.48,0.4800000000000004
cnn,IMAGENET100,PTQ,cumulative_low_outlier,1,fc2,fc2,1.998000849360153,25.0,25.0,0.0
cnn,IMAGENET100,PTQ,cumulative_low_outlier,2,fc1,fc2;fc1,3.5750523927630997,25.0,25.12,0.120000000000001
cnn,IMAGENET100,PTQ,cumulative_low_outlier,3,conv1,fc2;fc1;conv1,6.412026029623246,25.0,25.06,0.05999999999999872
cnn,IMAGENET100,PTQ,cumulative_low_outlier,4,conv2,fc2;fc1;conv1;conv2,7.48143180775814,25.0,25.6,0.6000000000000014
cnn,IMAGENET100,PTQ,cumulative_low_outlier,5,conv4,fc2;fc1;conv1;conv2;conv4,10.241374388218311,25.0,25.56,0.5599999999999987
cnn,IMAGENET100,QAT,cumulative_top_outlier,1,conv3,conv3,13.789578790373163,51.2,51.3,0.09999999999999432
cnn,IMAGENET100,QAT,cumulative_top_outlier,2,conv4,conv3;conv4,12.001008857531994,51.2,51.3,0.09999999999999432
cnn,IMAGENET100,QAT,cumulative_top_outlier,3,conv2,conv3;conv4;conv2,7.910674053362774,51.2,51.08,-0.12000000000000455
cnn,IMAGENET100,QAT,cumulative_top_outlier,4,conv1,conv3;conv4;conv2;conv1,6.72953321035651,51.2,51.28,0.0799999999999983
cnn,IMAGENET100,QAT,cumulative_top_outlier,5,fc1,conv3;conv4;conv2;conv1;fc1,4.773824424026783,51.2,51.24,0.03999999999999915
cnn,IMAGENET100,QAT,cumulative_low_outlier,1,fc2,fc2,1.9583399964521444,51.2,51.02,-0.17999999999999972
cnn,IMAGENET100,QAT,cumulative_low_outlier,2,fc1,fc2;fc1,4.773824424026783,51.2,51.26,0.05999999999999517
cnn,IMAGENET100,QAT,cumulative_low_outlier,3,conv1,fc2;fc1;conv1,6.72953321035651,51.2,51.12,-0.0800000000000054
cnn,IMAGENET100,QAT,cumulative_low_outlier,4,conv2,fc2;fc1;conv1;conv2,7.910674053362774,51.2,51.14,-0.060000000000002274
cnn,IMAGENET100,QAT,cumulative_low_outlier,5,conv4,fc2;fc1;conv1;conv2;conv4,12.001008857531994,51.2,51.08,-0.12000000000000455
resnet18_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,1,layer3.0.downsample.0,layer3.0.downsample.0,11.549607140769353,71.38,71.22,-0.1599999999999966
resnet18_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,2,layer4.0.downsample.0,layer3.0.downsample.0;layer4.0.downsample.0,8.929947961813813,71.38,71.18,-0.19999999999998863
resnet18_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,3,layer3.0.conv2,layer3.0.downsample.0;layer4.0.downsample.0;layer3.0.conv2,8.270333833488433,71.38,71.34,-0.03999999999999204
resnet18_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,4,layer4.1.conv1,layer3.0.downsample.0;layer4.0.downsample.0;layer3.0.conv2;layer4.1.conv1,8.186018109487009,71.38,71.38,0.0
resnet18_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,5,layer3.1.conv1,layer3.0.downsample.0;layer4.0.downsample.0;layer3.0.conv2;layer4.1.conv1;layer3.1.conv1,7.751345894779632,71.38,71.3,-0.0799999999999983
resnet18_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,1,fc,fc,2.596160151457497,71.38,71.26,-0.11999999999999034
resnet18_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,2,layer1.0.conv2,fc;layer1.0.conv2,4.1521783710718365,71.38,71.08,-0.29999999999999716
resnet18_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,3,layer1.1.conv1,fc;layer1.0.conv2;layer1.1.conv1,4.202202396990057,71.38,71.1,-0.28000000000000114
resnet18_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,4,layer2.0.conv1,fc;layer1.0.conv2;layer1.1.conv1;layer2.0.conv1,4.780545634091687,71.38,71.3,-0.0799999999999983
resnet18_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,5,conv1,fc;layer1.0.conv2;layer1.1.conv1;layer2.0.conv1;conv1,4.905470928804525,71.38,71.14,-0.23999999999999488
resnet18_no_weights,IMAGENET100,QAT,cumulative_top_outlier,1,layer3.0.downsample.0,layer3.0.downsample.0,11.156557695905367,82.32,82.26,-0.05999999999998806
