model,dataset,stage,fp32_acc,weights_only_acc,activations_only_acc,full_acc,weight_loss_pts,activation_loss_pts,total_loss_pts,dominant_source
cnn,IMAGENET100,PTQ,43.04,25.52,42.62,25.0,17.52,0.4200000000000017,18.04,weight
cnn,IMAGENET100,QAT,43.04,51.18,42.9,51.2,-8.14,0.14000000000000057,-8.160000000000004,activation
resnet18_no_weights,IMAGENET100,PTQ,80.06,71.1,80.06,71.38,8.960000000000008,0.0,8.680000000000007,weight
resnet18_no_weights,IMAGENET100,QAT,80.06,82.3,80.36,82.32,-2.239999999999995,-0.29999999999999716,-2.259999999999991,activation
resnet50_no_weights,IMAGENET100,PTQ,80.02,64.1,79.96,63.96,15.920000000000002,0.060000000000002274,16.059999999999995,weight
resnet50_no_weights,IMAGENET100,QAT,80.02,83.3,77.64,83.14,-3.280000000000001,2.3799999999999955,-3.1200000000000045,activation
