model,dataset,stage,predictor,n_layers,damage_mode,spearman_rho_abs,spearman_p_abs,top5_overlap_abs,conv1_damage_rank_abs,spearman_rho_signed,spearman_p_signed,top5_overlap_signed,conv1_damage_rank_signed,conv1_predictor_rank
resnet18_no_weights,IMAGENET100,PTQ,raw_trh,21,both,0.12141157704265125,0.60010104401713,1/5,1,0.06380229967721845,0.78350424207794,1/5,1,1
resnet18_no_weights,IMAGENET100,PTQ,dwsq,21,both,-0.2519616598842117,0.27053639246680095,1/5,1,-0.19791733777422868,0.3897956093901376,1/5,1,21
resnet18_no_weights,IMAGENET100,PTQ,trh_dwsq,21,both,-0.15274359692462577,0.5086160503746567,1/5,1,-0.14062547683958354,0.5431872749043172,1/5,1,10
resnet50_no_weights,IMAGENET100,PTQ,raw_trh,54,both,0.2987665756118894,0.028199784973739383,1/5,1,0.1699174624463936,0.21930713512310257,1/5,1,1
resnet50_no_weights,IMAGENET100,PTQ,dwsq,54,both,-0.006170804191598999,0.9646769759015136,0/5,1,0.07952932535744796,0.5675585911998335,0/5,1,54
resnet50_no_weights,IMAGENET100,PTQ,trh_dwsq,54,both,0.1785700417929176,0.19638327330349845,0/5,1,0.16884687537427412,0.2222680047209817,0/5,1,9
cnn,IMAGENET100,PTQ,raw_trh,6,both,0.6,0.208,4/5,1,0.6,0.208,4/5,1,3
cnn,IMAGENET100,PTQ,dwsq,6,both,-0.942857142857143,0.004804664723032055,4/5,1,-0.942857142857143,0.004804664723032055,4/5,1,6
cnn,IMAGENET100,PTQ,trh_dwsq,6,both,-0.14285714285714288,0.7871720116618076,4/5,1,-0.14285714285714288,0.7871720116618076,4/5,1,6
resnet18_no_weights,IMAGENET100,QAT,raw_trh,21,both,0.12093638313689462,0.6015394159266317,1/5,2,-0.12093638313689462,0.6015394159266317,1/5,20,1
resnet18_no_weights,IMAGENET100,QAT,dwsq,21,both,-0.4707416203823209,0.0312574789585281,0/5,2,0.4707416203823209,0.0312574789585281,3/5,20,21
resnet18_no_weights,IMAGENET100,QAT,trh_dwsq,21,both,-0.3933683429990389,0.07770157211915057,0/5,2,0.3933683429990389,0.07770157211915057,3/5,20,12
resnet50_no_weights,IMAGENET100,QAT,raw_trh,54,both,-0.0940926901307441,0.49855683075309914,2/5,54,-0.0940926901307441,0.49855683075309914,2/5,54,1
resnet50_no_weights,IMAGENET100,QAT,dwsq,54,both,0.029693341822471502,0.8312162801147109,0/5,54,0.029693341822471502,0.8312162801147109,0/5,54,54
resnet50_no_weights,IMAGENET100,QAT,trh_dwsq,54,both,-0.08226892386380635,0.5542465462298785,1/5,54,-0.08226892386380635,0.5542465462298785,1/5,54,9
cnn,IMAGENET100,QAT,raw_trh,6,both,0.5428571428571429,0.26570262390670546,4/5,4,-0.08571428571428573,0.8717434402332361,4/5,5,3
cnn,IMAGENET100,QAT,dwsq,6,both,-0.3714285714285715,0.4684781341107872,4/5,4,0.6,0.208,4/5,5,6
cnn,IMAGENET100,QAT,trh_dwsq,6,both,0.5428571428571429,0.26570262390670546,4/5,4,0.3714285714285715,0.4684781341107872,4/5,5,6
