model,dataset,stage,layer,eigenvalue
cnn,IMAGENET100,FP32,conv1.weight,12.636402130126953
cnn,IMAGENET100,FP32,conv2.weight,70.54077911376953
cnn,IMAGENET100,FP32,conv3.weight,199.24533081054688
cnn,IMAGENET100,FP32,conv4.weight,25.154666900634766
cnn,IMAGENET100,FP32,fc1.weight,9.660911560058594
cnn,IMAGENET100,FP32,fc2.weight,5.685624122619629
cnn,IMAGENET100,PTQ,conv1.weight,90.84402465820312
cnn,IMAGENET100,PTQ,conv2.weight,232.83909606933594
cnn,IMAGENET100,PTQ,conv3.weight,298.4089660644531
cnn,IMAGENET100,PTQ,conv4.weight,4.090162754058838
cnn,IMAGENET100,PTQ,fc1.weight,15.845352172851562
cnn,IMAGENET100,PTQ,fc2.weight,10.052330017089844
cnn,IMAGENET100,QAT,conv1.weight,47.691864013671875
cnn,IMAGENET100,QAT,conv2.weight,125.5065689086914
cnn,IMAGENET100,QAT,conv3.weight,237.6575927734375
cnn,IMAGENET100,QAT,conv4.weight,2.1842751502990723
cnn,IMAGENET100,QAT,fc1.weight,7.5277814865112305
cnn,IMAGENET100,QAT,fc2.weight,4.352160453796387
resnet18_no_weights,IMAGENET100,FP32,conv1.weight,66.75424194335938
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,39.15031433105469
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,18.15909194946289
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,23.706165313720703
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,17.23641014099121
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,105.38130187988281
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,45.343719482421875
resnet18_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,42.40540313720703
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,36.50081253051758
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,29.113998413085938
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,76.2006607055664
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,66.68190002441406
