model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet18_no_weights,IMAGENET100,PTQ,conv1,2529.237021891276,0.1545577049255371,1.642832747933005e-05,390.9130693162161,80.06,76.34,3.719999999999999,3.719999999999999
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1,295.73222868177623,0.669803261756897,1.8169576328040825e-05,198.08241137769028,80.06,79.92,0.14000000000000057,0.14000000000000057
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2,41.01618335663326,3.0609288215637207,8.303300839745336e-05,125.54761778686095,80.06,80.14,-0.0799999999999983,0.0799999999999983
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1,215.93628609160072,0.4178318381309509,1.1334414011798799e-05,90.22505533682443,80.06,80.16,-0.09999999999999432,0.09999999999999432
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2,16.815685205989414,5.829638481140137,0.00015813906470106708,98.0293655635748,80.06,80.16,-0.09999999999999432,0.09999999999999432
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1,1388.678172132704,0.5840652585029602,7.921892069538848e-06,811.078675584106,80.06,79.88,0.18000000000000682,0.18000000000000682
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv2,44.36257945166694,12.647207260131836,8.576936347203123e-05,561.0627369192975,80.06,79.98,0.0799999999999983,0.0799999999999983
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0,119.0078379948934,1.0918331146240234,0.00013328040950000286,129.93669842263566,80.06,79.56,0.5,0.5
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv1,195.3907813272549,1.9467973709106445,1.3202564635624489e-05,380.3862593880765,80.06,79.94,0.12000000000000455,0.12000000000000455
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv2,35.72049096425374,10.15863037109375,6.889262133174473e-05,362.87126437984796,80.06,79.88,0.18000000000000682,0.18000000000000682
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv1,323.35848085688446,4.076717376708984,1.382350455969572e-05,1318.2411378154804,80.06,80.0,0.060000000000002274,0.060000000000002274
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv2,74.71929111888265,23.666584014892578,4.012482370146447e-05,1768.3503807982531,80.06,79.86,0.20000000000000284,0.20000000000000284
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0,27.78545558242505,1.7763820886611938,5.421087917056866e-05,49.35758562191104,80.06,79.74,0.3200000000000074,0.3200000000000074
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1,159.58187607436153,3.8688786029815674,6.559378056812824e-06,617.4029057677535,80.06,80.22,-0.1599999999999966,0.1599999999999966
