model,dataset,layer,n_seeds,trace_random_mean,trace_random_std,trace_trained_fp32,ratio_trained_over_random,elev_over_median_random,elev_over_median_trained,classification
resnet50_no_weights,IMAGENET100,conv1.weight,3,1520.6463972303602,225.59885339960738,158.63658543636924,0.1043218105966667,101.43205151346625,4.206460893727791,architectural
resnet50_no_weights,IMAGENET100,fc.weight,3,567.686511935232,15.823921556848648,9.05796314239502,0.015955924532215154,37.866533355151525,0.24018398801577479,architectural
resnet50_no_weights,IMAGENET100,layer1.0.conv1.weight,3,69.64441191548049,5.08100626690841,55.9644665553652,0.8035744005317026,4.645508377162807,1.4839725612847792,architectural
resnet50_no_weights,IMAGENET100,layer1.0.conv2.weight,3,268.59148785626445,46.65128081925828,24.033788655255293,0.08948082773239958,17.91592422928553,0.637287999034757,architectural
resnet50_no_weights,IMAGENET100,layer1.0.conv3.weight,3,80.82097868358387,19.647445279870592,36.50917779482328,0.4517289742030669,5.3910216656109045,0.968089600728827,architectural
resnet50_no_weights,IMAGENET100,layer1.0.downsample.0.weight,3,132.10836096264066,18.956794319633108,48.06941396849496,0.36386352550455653,8.812056569448613,1.274624699508499,architectural
resnet50_no_weights,IMAGENET100,layer1.1.conv1.weight,3,18.341554845136308,3.862753591216609,1.5813298688994513,0.086215693394106,1.2234412545069149,0.04193107305803264,architectural
resnet50_no_weights,IMAGENET100,layer1.1.conv2.weight,3,113.16542085826907,21.01149643347224,23.623270695026104,0.20874990360007958,7.548500965737771,0.6264025671457201,architectural
resnet50_no_weights,IMAGENET100,layer1.1.conv3.weight,3,33.499319632848106,7.126251527026977,7.591559307915824,0.2266183131812576,2.234513375926131,0.2013003322236283,architectural
resnet50_no_weights,IMAGENET100,layer1.2.conv1.weight,3,9.426465768274564,2.0657016372734125,3.3527250720394983,0.3556714843566643,0.6287758700109601,0.08890198225182891,architectural
resnet50_no_weights,IMAGENET100,layer1.2.conv2.weight,3,52.80302150161178,6.519168610105849,2.5127611604038176,0.047587450281175996,3.522132960544405,0.06662921751273064,architectural
resnet50_no_weights,IMAGENET100,layer1.2.conv3.weight,3,16.91498756119699,2.9176238862102726,4.020927649277907,0.23771389927013142,1.128284585280257,0.10662026585273836,architectural
resnet50_no_weights,IMAGENET100,layer2.0.conv1.weight,3,15.404841632843018,3.1569416785397624,15.433822241696445,1.0018812662631753,1.027552949130892,0.4092484058570655,architectural
resnet50_no_weights,IMAGENET100,layer2.0.conv2.weight,3,78.69894374398625,15.333777650157494,96.81645143032074,1.230212844346071,5.249475045897949,2.567217490788052,architectural
resnet50_no_weights,IMAGENET100,layer2.0.conv3.weight,3,24.990402522453895,5.640335378529903,24.689944851155182,0.9879770775589248,1.6669409802414463,0.6546868567486805,architectural
resnet50_no_weights,IMAGENET100,layer2.0.downsample.0.weight,3,47.45144821802775,10.455228697134777,57.12049491588886,1.20376715697768,3.1651656485070663,1.5146261969338743,architectural
resnet50_no_weights,IMAGENET100,layer2.1.conv1.weight,3,6.898593994446131,1.5626079782881879,3.6540952920913696,0.5296869615798787,0.46015861589493945,0.09689321606271313,architectural
resnet50_no_weights,IMAGENET100,layer2.1.conv2.weight,3,41.41358009509408,8.663689863601245,80.25408643834731,1.9378688404641051,2.7624202426110056,2.128044266939715,architectural
resnet50_no_weights,IMAGENET100,layer2.1.conv3.weight,3,13.042032241450785,2.986751324011628,27.12782151358468,2.080030244624438,0.8699458918026969,0.7193304118027235,architectural
resnet50_no_weights,IMAGENET100,layer2.2.conv1.weight,3,4.118377576424526,0.6551620186058079,19.015419806203536,4.617211378348718,0.27470915476776336,0.5042192478650892,mixed
resnet50_no_weights,IMAGENET100,layer2.2.conv2.weight,3,24.955502317409323,3.7305971262258497,58.01768862406413,2.3248455545449045,1.6646130232605472,1.5384164861484118,architectural
resnet50_no_weights,IMAGENET100,layer2.2.conv3.weight,3,7.41140832184872,1.1831442125352891,30.693875789642334,4.141436344717002,0.49436499639778503,0.8138891027622192,mixed
resnet50_no_weights,IMAGENET100,layer2.3.conv1.weight,3,2.6281626472870507,0.4711329374053896,19.523899685252797,7.428725807897222,0.17530698097264766,0.5177022708423209,mixed
resnet50_no_weights,IMAGENET100,layer2.3.conv2.weight,3,15.117935262174688,3.1573446941475343,36.32998728752136,2.4031050971900614,1.0084153627582968,0.9633381251507354,architectural
