model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv2,"(64, 64, 3, 3)",0.4836470644507143,1.3119766288268075e-05,"42,43,44",aggregate,3,0.10424236947462232
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",0.8921462903420131,5.4452288228882635e-05,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",0.9046462349593639,5.521522430171899e-05,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",0.647987212240696,3.955000074711279e-05,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",0.814926579180691,4.973917109257147e-05,"42,43,44",aggregate,3,0.14470876383137246
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",8.136186639467875,0.00024829671140954207,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",6.5809813141822815,0.00020083561139472295,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",8.443631688753763,0.00025767918972026865,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",7.720266547467973,0.00023560383750817788,"42,43,44",aggregate,3,0.9985533269033383
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",60.97644214630127,0.00041352296377428704,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",67.52763446172078,0.00045795108006266804,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",61.26079832712809,0.0004154513775440002,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",63.25495831171671,0.0004289751404603184,"42,43,44",aggregate,3,3.7029766028836564
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",20.542400105794272,0.0003134521500517925,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",21.25383842786153,0.0003243078373391957,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",19.202683643058496,0.00029300969914334863,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",20.332974058904767,0.0003102565621781123,"42,43,44",aggregate,3,1.0414909695441055
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",41.619754473368324,0.000317533527171084,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",29.108678817749023,0.00022208159498404711,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",23.92313591639201,0.00018251904233087166,44,44,3,
