model,dataset,spike_by_trace,spike_by_damage,agreement
resnet50_no_weights,IMAGENET100,conv1,conv1,yes
resnet18_no_weights,IMAGENET100,conv1,conv1,yes
cnn,IMAGENET100,conv3,conv1,no
