model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
cnn,CIFAR10,PTQ,cumulative_top_outlier,1,conv3,conv3,5.243006088362617,66.02,66.02,0.0
cnn,CIFAR10,PTQ,cumulative_top_outlier,2,fc1,conv3;fc1,5.061013468838235,66.02,66.03,0.010000000000005116
cnn,CIFAR10,PTQ,cumulative_top_outlier,3,conv2,conv3;fc1;conv2,4.819085490398032,66.02,66.01,-0.009999999999990905
cnn,CIFAR10,PTQ,cumulative_top_outlier,4,conv1,conv3;fc1;conv2;conv1,4.138510186865414,66.02,65.98,-0.03999999999999204
cnn,CIFAR10,PTQ,cumulative_top_outlier,5,conv4,conv3;fc1;conv2;conv1;conv4,3.7444141423226003,66.02,66.01,-0.009999999999990905
cnn,CIFAR10,PTQ,cumulative_low_outlier,1,fc2,fc2,1.9236963005658314,66.02,66.21,0.18999999999999773
cnn,CIFAR10,PTQ,cumulative_low_outlier,2,conv4,fc2;conv4,3.7444141423226003,66.02,66.19,0.1700000000000017
cnn,CIFAR10,PTQ,cumulative_low_outlier,3,conv1,fc2;conv4;conv1,4.138510186865414,66.02,66.31,0.29000000000000625
cnn,CIFAR10,PTQ,cumulative_low_outlier,4,conv2,fc2;conv4;conv1;conv2,4.819085490398032,66.02,66.15,0.13000000000000966
cnn,CIFAR10,PTQ,cumulative_low_outlier,5,fc1,fc2;conv4;conv1;conv2;fc1,5.061013468838235,66.02,66.15,0.13000000000000966
cnn,CIFAR10,QAT,cumulative_top_outlier,1,conv3,conv3,5.512429518850052,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_top_outlier,2,conv2,conv3;conv2,4.8415667901617025,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_top_outlier,3,conv1,conv3;conv2;conv1,4.069239643249945,85.19,85.3,0.10999999999999943
cnn,CIFAR10,QAT,cumulative_top_outlier,4,fc1,conv3;conv2;conv1;fc1,4.012266994413753,85.19,85.29,0.10000000000000853
cnn,CIFAR10,QAT,cumulative_top_outlier,5,conv4,conv3;conv2;conv1;fc1;conv4,3.7059279964337266,85.19,85.29,0.10000000000000853
cnn,CIFAR10,QAT,cumulative_low_outlier,1,fc2,fc2,1.422395718895844,85.19,85.31,0.12000000000000455
cnn,CIFAR10,QAT,cumulative_low_outlier,2,conv4,fc2;conv4,3.7059279964337266,85.19,85.31,0.12000000000000455
cnn,CIFAR10,QAT,cumulative_low_outlier,3,fc1,fc2;conv4;fc1,4.012266994413753,85.19,85.36,0.1700000000000017
cnn,CIFAR10,QAT,cumulative_low_outlier,4,conv1,fc2;conv4;fc1;conv1,4.069239643249945,85.19,85.22,0.030000000000001137
cnn,CIFAR10,QAT,cumulative_low_outlier,5,conv2,fc2;conv4;fc1;conv1;conv2,4.8415667901617025,85.19,85.34,0.15000000000000568
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,1,layer2.1.conv2,layer2.1.conv2,6.76443041480994,82.26,82.35,0.0899999999999892
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,2,layer2.0.downsample.0,layer2.1.conv2;layer2.0.downsample.0,6.578460461264837,82.26,82.33,0.06999999999999318
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,3,layer2.0.conv2,layer2.1.conv2;layer2.0.downsample.0;layer2.0.conv2,6.113062561219792,82.26,82.38,0.11999999999999034
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,4,layer3.1.conv2,layer2.1.conv2;layer2.0.downsample.0;layer2.0.conv2;layer3.1.conv2,5.473017815880687,82.26,82.4,0.14000000000000057
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,5,layer3.1.conv1,layer2.1.conv2;layer2.0.downsample.0;layer2.0.conv2;layer3.1.conv2;layer3.1.conv1,5.195193585997824,82.26,82.32,0.05999999999998806
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,1,fc,fc,1.4420462281023632,82.26,82.37,0.10999999999999943
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,2,layer4.1.conv2,fc;layer4.1.conv2,3.379649271508228,82.26,82.37,0.10999999999999943
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,3,layer2.0.conv1,fc;layer4.1.conv2;layer2.0.conv1,3.5432389802139954,82.26,82.43,0.1700000000000017
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,4,layer2.1.conv1,fc;layer4.1.conv2;layer2.0.conv1;layer2.1.conv1,3.69037195142518,82.26,82.43,0.1700000000000017
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,5,layer3.0.conv1,fc;layer4.1.conv2;layer2.0.conv1;layer2.1.conv1;layer3.0.conv1,3.7927566996305093,82.26,82.49,0.22999999999998977
resnet18_no_weights,CIFAR10,QAT,cumulative_top_outlier,1,layer2.0.downsample.0,layer2.0.downsample.0,6.8243521840734465,90.62,90.61,-0.010000000000005116
resnet18_no_weights,CIFAR10,QAT,cumulative_top_outlier,2,layer3.1.conv2,layer2.0.downsample.0;layer3.1.conv2,6.793681193514565,90.62,90.59,-0.030000000000001137
resnet18_no_weights,CIFAR10,QAT,cumulative_top_outlier,3,layer2.1.conv2,layer2.0.downsample.0;layer3.1.conv2;layer2.1.conv2,6.483152281654027,90.62,90.58,-0.04000000000000625
resnet18_no_weights,CIFAR10,QAT,cumulative_top_outlier,4,layer3.1.conv1,layer2.0.downsample.0;layer3.1.conv2;layer2.1.conv2;layer3.1.conv1,6.178595697941286,90.62,90.59,-0.030000000000001137
resnet18_no_weights,CIFAR10,QAT,cumulative_top_outlier,5,layer4.0.conv2,layer2.0.downsample.0;layer3.1.conv2;layer2.1.conv2;layer3.1.conv1;layer4.0.conv2,5.770612934481585,90.62,90.61,-0.010000000000005116
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,1,fc,fc,1.1806307842238284,90.62,90.66,0.03999999999999204
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,2,layer2.0.conv1,fc;layer2.0.conv1,3.5277146304796427,90.62,90.63,0.009999999999990905
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,3,layer4.1.conv2,fc;layer2.0.conv1;layer4.1.conv2,3.730582324260783,90.62,90.65,0.030000000000001137
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,4,layer1.1.conv2,fc;layer2.0.conv1;layer4.1.conv2;layer1.1.conv2,4.0264510447860165,90.62,90.62,0.0
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,5,layer2.1.conv1,fc;layer2.0.conv1;layer4.1.conv2;layer1.1.conv2;layer2.1.conv1,4.05188160643623,90.62,90.63,0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,1,layer4.2.conv3,layer4.2.conv3,inf,11.81,11.8,-0.009999999999999787
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,2,layer4.0.conv3,layer4.2.conv3;layer4.0.conv3,3108.999853279001,11.81,11.6,-0.21000000000000085
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,3,layer3.5.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3,874.1250490322791,11.81,11.67,-0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,4,layer3.2.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3;layer3.2.conv3,272.5237504239724,11.81,11.72,-0.08999999999999986
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,5,layer3.4.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3;layer3.2.conv3;layer3.4.conv3,204.65624052338651,11.81,14.0,2.1899999999999995
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,1,fc,fc,2.746344018463108,11.81,10.68,-1.1300000000000008
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,2,layer1.1.conv1,fc;layer1.1.conv1,3.558744080094917,11.81,10.74,-1.0700000000000003
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,3,conv1,fc;layer1.1.conv1;conv1,3.5708815167075207,11.81,10.72,-1.0899999999999999
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,4,layer1.1.conv2,fc;layer1.1.conv1;conv1;layer1.1.conv2,3.5892635551096133,11.81,10.69,-1.120000000000001
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,5,layer1.2.conv1,fc;layer1.1.conv1;conv1;layer1.1.conv2;layer1.2.conv1,3.912453638882612,11.81,10.65,-1.1600000000000001
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,1,layer4.2.conv3,layer4.2.conv3,25.606892235153694,84.68,84.64,-0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,2,layer4.1.conv3,layer4.2.conv3;layer4.1.conv3,23.885578056338147,84.68,84.64,-0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,3,layer1.1.conv3,layer4.2.conv3;layer4.1.conv3;layer1.1.conv3,9.282465138788192,84.68,84.72,0.03999999999999204
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,4,layer1.2.conv3,layer4.2.conv3;layer4.1.conv3;layer1.1.conv3;layer1.2.conv3,9.2052207521296,84.68,84.66,-0.020000000000010232
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,5,layer3.2.conv3,layer4.2.conv3;layer4.1.conv3;layer1.1.conv3;layer1.2.conv3;layer3.2.conv3,8.653179577525922,84.68,84.71,0.029999999999986926
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,1,fc,fc,1.2972313036624548,84.68,84.67,-0.010000000000005116
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,2,layer2.1.conv1,fc;layer2.1.conv1,3.235252041756561,84.68,84.64,-0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,3,conv1,fc;layer2.1.conv1;conv1,3.3113559684000236,84.68,84.51,-0.1700000000000017
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,4,layer3.1.conv1,fc;layer2.1.conv1;conv1;layer3.1.conv1,3.4303685754099567,84.68,84.61,-0.07000000000000739
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,5,layer3.5.conv1,fc;layer2.1.conv1;conv1;layer3.1.conv1;layer3.5.conv1,3.4484419757873623,84.68,84.68,0.0
