model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,"(512, 1024, 1, 1)",31.545890133555343,6.0169010417090116e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,"(512, 512, 3, 3)",17.203825668052392,7.291931859356516e-06,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv3,"(2048, 512, 1, 1)",12.88624529157366,1.2289281169484768e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,"(2048, 1024, 1, 1)",35.39424514770508,1.6877291272976436e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,"(512, 2048, 1, 1)",25.722494029998778,2.453088191032293e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,"(512, 512, 3, 3)",59.815912034776474,2.535328845332526e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv3,"(2048, 512, 1, 1)",21.241905905983664,2.0257860094054855e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv1,"(512, 2048, 1, 1)",20.86275078268612,1.9896269591032143e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv2,"(512, 512, 3, 3)",14.279857873916626,6.05259275390482e-06,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv3,"(2048, 512, 1, 1)",5.848538143294198,5.577600615781973e-06,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,fc,"(10, 2048)",6.3931756019592285,0.0003121667774394155,20260811
resnet50_no_weights,CIFAR10,fp32_fused,conv1,"(64, 3, 3, 3)",199.42232942581177,0.11540644063993737,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,"(64, 64, 1, 1)",4.119198007403679,0.001005663576026289,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,"(64, 64, 3, 3)",5.676793399610017,0.00015399287650851826,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv3,"(256, 64, 1, 1)",2.8312233115235963,0.00017280415719748513,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.downsample.0,"(256, 64, 1, 1)",7.336417825598466,0.0004477794083006876,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,"(64, 256, 1, 1)",7.2381736896932125,0.00044178306211506424,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,"(64, 64, 3, 3)",5.3156028111775715,0.00014419495473029436,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv3,"(256, 64, 1, 1)",2.378356546163559,0.00014516336341330316,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv1,"(64, 256, 1, 1)",13.241928988489612,0.0008082232048638679,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv2,"(64, 64, 3, 3)",20.28659699757894,0.0005503091633457829,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv3,"(256, 64, 1, 1)",5.273372845990317,0.0003218611356195262,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv1,"(128, 256, 1, 1)",47.43791105482313,0.001447690156702366,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv2,"(128, 128, 3, 3)",63.338786421151,0.00042954363621114773,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv3,"(512, 128, 1, 1)",27.927258265220512,0.0004261361429629595,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.downsample.0,"(512, 256, 1, 1)",42.85469264984131,0.00032695535774109887,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv1,"(128, 512, 1, 1)",8.108606398105621,0.00012372751461953158,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv2,"(128, 128, 3, 3)",8.048514014796206,5.458247894148903e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv3,"(512, 128, 1, 1)",7.570580800374349,0.00011551789551352461,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv1,"(128, 512, 1, 1)",12.021532270643446,0.000183434025125785,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv2,"(128, 128, 3, 3)",6.223443450598881,4.220542704670465e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv3,"(512, 128, 1, 1)",6.151539007822673,9.38650361301067e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv1,"(128, 512, 1, 1)",12.101656556129456,0.00018465662469679955,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv2,"(128, 128, 3, 3)",14.325508282102387,9.715107070653202e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv3,"(512, 128, 1, 1)",8.721873082220554,0.00013308522159150016,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,"(256, 512, 1, 1)",81.71074030134413,0.0006234034751994639,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,"(256, 256, 3, 3)",61.93182945251465,0.00010500052465229399,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv3,"(1024, 256, 1, 1)",32.267927710215254,0.0001230923756035433,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,"(1024, 512, 1, 1)",32.43814561583779,6.1870852691341e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,"(256, 1024, 1, 1)",17.84913522005081,6.808904731769871e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,"(256, 256, 3, 3)",19.131382378664885,3.2435747576675216e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv3,"(1024, 256, 1, 1)",12.07648687362671,4.6068141455180014e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv1,"(256, 1024, 1, 1)",25.70637910262398,9.806205407189934e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv2,"(256, 256, 3, 3)",19.650700702223666,3.331621077172795e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv3,"(1024, 256, 1, 1)",13.30765796744305,5.076468646027775e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv1,"(256, 1024, 1, 1)",42.1537202835083,0.0001608036815014202,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv2,"(256, 256, 3, 3)",33.682958126068115,5.710679478296596e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv3,"(1024, 256, 1, 1)",15.964169144630432,6.0898472383996705e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv1,"(256, 1024, 1, 1)",52.762328147888184,0.00020127230891375802,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv2,"(256, 256, 3, 3)",21.05850132651951,3.570302552374863e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv3,"(1024, 256, 1, 1)",19.379797486697925,7.392806048087282e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv1,"(256, 1024, 1, 1)",51.91609398978097,0.00019804418178474796,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv2,"(256, 256, 3, 3)",7.486143704118399,1.269216529696723e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv3,"(1024, 256, 1, 1)",6.779666939297238,2.5862376935185387e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,"(512, 1024, 1, 1)",59.88216445559547,0.00011421616450423331,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,"(512, 512, 3, 3)",16.01993826031685,6.790134964123556e-06,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv3,"(2048, 512, 1, 1)",11.836838790348597,1.1288489141796682e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,"(2048, 1024, 1, 1)",90.72897017629523,4.32629443055607e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv1,"(512, 2048, 1, 1)",31.665040493011475,3.0198135846148944e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv2,"(512, 512, 3, 3)",94.88663882300968,4.021820018472022e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv3,"(2048, 512, 1, 1)",22.48050159878201,2.1439076994688043e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv1,"(512, 2048, 1, 1)",40.706591899578385,3.882083120305861e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv2,"(512, 512, 3, 3)",11.108319432394845,4.708319529382852e-06,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv3,"(2048, 512, 1, 1)",5.64502477645874,5.383515144785633e-06,20260811
resnet50_no_weights,CIFAR10,fp32_fused,fc,"(10, 2048)",5.122285167376201,0.00025011158043829104,20260811
resnet50_no_weights,CIFAR10,ptq,conv1,"(64, 3, 3, 3)",1030.9168579989466,0.5965954039345756,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv1,"(64, 64, 1, 1)",10.431173041563582,0.002546673105850484,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv2,"(64, 64, 3, 3)",22.022082960376373,0.0005973872330831265,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv3,"(256, 64, 1, 1)",5.15650637394477,0.00031472817223783994,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.downsample.0,"(256, 64, 1, 1)",2.0089843285083773,0.00012261867239431014,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv1,"(64, 256, 1, 1)",13.90222792530173,0.0008485246536439044,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv2,"(64, 64, 3, 3)",4.314628159222395,0.00011704177949279501,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv3,"(256, 64, 1, 1)",1.1429196219891309,6.975827770929754e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv1,"(64, 256, 1, 1)",13.9614003354311,0.0008521362509418395,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv2,"(64, 64, 3, 3)",1.0528090036398656,2.8559272017140453e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv3,"(256, 64, 1, 1)",0.7305498439818621,4.4589223875846073e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv1,"(128, 256, 1, 1)",8.47022231458948,0.00025849067122160277,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv2,"(128, 128, 3, 3)",2.238623069599271,1.5181634315316236e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv3,"(512, 128, 1, 1)",0.5778948891162873,8.817976213322255e-06,20260811
