model,dataset,spike_layer,descriptor,spearman_vs_residual,partial_corr_controlling_numel,spike_A_share,spike_G_share,resolution_contrast_ratio,hypothesis_supported
resnet50_no_weights,CIFAR10,conv1,output_map,0.019436342050283585,-0.1089125947650514,1.543671790118066,-0.5436717901180662,nan,undetermined
resnet50_no_weights,CIFAR10,conv1,fan_in,0.0046854125082826156,0.011052769137931394,1.543671790118066,-0.5436717901180662,nan,undetermined
resnet50_no_weights,CIFAR10,conv1,tr_A_prev,0.24929005703130597,0.23987096275389502,1.543671790118066,-0.5436717901180662,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,output_map,0.6068824854805611,0.4285846767985902,-0.9365437909938678,1.9365437909938679,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,fan_in,-0.09091863968186123,-0.46252092277771784,-0.9365437909938678,1.9365437909938679,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,tr_A_prev,0.13896103896103898,0.17782416182600347,-0.9365437909938678,1.9365437909938679,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,output_map,0.6068824854805611,0.4285846767985902,1.26479639116587,-0.26479639116587,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,fan_in,-0.09091863968186123,-0.46252092277771784,1.26479639116587,-0.26479639116587,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,tr_A_prev,0.13896103896103898,0.17782416182600347,1.26479639116587,-0.26479639116587,nan,undetermined
cnn,CIFAR10,conv2,output_map,0.5797710356524485,0.2919064850956189,-3.80289221642012,4.80289221642012,nan,undetermined
cnn,CIFAR10,conv2,fan_in,-0.28988551782622424,-0.7218836898585079,-3.80289221642012,4.80289221642012,nan,undetermined
cnn,CIFAR10,conv2,tr_A_prev,0.5428571428571429,0.4857258428121845,-3.80289221642012,4.80289221642012,nan,undetermined
cnn,CIFAR10,conv1,output_map,0.5797710356524485,0.2919064850956189,23.01262604765845,-22.01262604765845,nan,undetermined
cnn,CIFAR10,conv1,fan_in,-0.28988551782622424,-0.7218836898585079,23.01262604765845,-22.01262604765845,nan,undetermined
cnn,CIFAR10,conv1,tr_A_prev,0.5428571428571429,0.4857258428121845,23.01262604765845,-22.01262604765845,nan,undetermined
