model,dataset,layer,n_seeds,trace_random_mean,trace_random_std,trace_trained_fp32,ratio_trained_over_random,elev_over_median_random,elev_over_median_trained,classification
resnet50_no_weights,CIFAR10,conv1.weight,3,74.42822490272741,68.57799392131517,13.87340584397316,0.18639979472981857,0.10209613448488783,1.0144777004010748,learned
resnet50_no_weights,CIFAR10,fc.weight,3,382734.2619903795,370923.30622477847,5.493646225263906,1.4353682883509385e-05,525.0116973125897,0.401716900096587,architectural
resnet50_no_weights,CIFAR10,layer1.0.conv1.weight,3,15.420853384299923,13.647422406458489,4.2047243172472175,0.2726648268070609,0.02115339339414406,0.3074658886328539,learned
resnet50_no_weights,CIFAR10,layer1.0.conv2.weight,3,142.49433930572079,127.47439010483627,5.190635684658499,0.03642696060734048,0.1954651108246301,0.37955958415789137,mixed
resnet50_no_weights,CIFAR10,layer1.0.conv3.weight,3,69.72503772454753,59.93583624102541,2.586037952166337,0.03708908645388788,0.09564458695330809,0.18910121021243625,mixed
resnet50_no_weights,CIFAR10,layer1.0.downsample.0.weight,3,71.32359749888786,68.6812630059521,20.265618324279785,0.2841362330972689,0.0978373945060407,1.4819012797605442,learned
resnet50_no_weights,CIFAR10,layer1.1.conv1.weight,3,20.826476390990944,17.996191495010834,2.5408404697390163,0.12200049696539764,0.028568499883476796,0.18579619350979976,learned
resnet50_no_weights,CIFAR10,layer1.1.conv2.weight,3,199.00007397202765,174.05120533938563,3.9050083330699374,0.01962315015832026,0.2729762578820584,0.2855494835466653,architectural
resnet50_no_weights,CIFAR10,layer1.1.conv3.weight,3,107.82187838043667,93.90126535649858,2.204062024377427,0.02044169566959923,0.14790352732352868,0.16116963629396697,architectural
resnet50_no_weights,CIFAR10,layer1.2.conv1.weight,3,32.32422309728266,28.532981115701286,4.488950221702971,0.13887264074972724,0.04434041296528024,0.32824959850118074,learned
resnet50_no_weights,CIFAR10,layer1.2.conv2.weight,3,265.6290364335249,236.5040173202418,13.160799162728447,0.04954578512738011,0.3643738361656739,0.9623691125452939,mixed
resnet50_no_weights,CIFAR10,layer1.2.conv3.weight,3,127.77208980393416,137.97649520438546,5.904548158771114,0.04621156441779752,0.17527001995663066,0.43176365669571254,mixed
resnet50_no_weights,CIFAR10,layer2.0.conv1.weight,3,58.100113069202706,64.48183572765215,14.464818600452308,0.24896369105552937,0.07969821885787227,1.0577241144344007,learned
resnet50_no_weights,CIFAR10,layer2.0.conv2.weight,3,493.2196325156515,483.96664687656533,25.021796570883858,0.05073155024924891,0.6765688419644095,1.829691636690713,mixed
resnet50_no_weights,CIFAR10,layer2.0.conv3.weight,3,268.20757711371465,297.826094776669,28.802203347947863,0.1073877317632093,0.367910922216073,2.1061297670898593,learned
resnet50_no_weights,CIFAR10,layer2.0.downsample.0.weight,3,224.96722528232905,229.0642058173302,37.92332940631442,0.1685726859044532,0.30859642450340175,2.7731021812775234,learned
resnet50_no_weights,CIFAR10,layer2.1.conv1.weight,3,86.34680203795484,96.75585786616824,3.616932959392153,0.04188844142487505,0.11844531728021872,0.2644842854318293,mixed
resnet50_no_weights,CIFAR10,layer2.1.conv2.weight,3,751.7033596339388,789.9232925723473,7.742825453622,0.010300373617317032,1.0311411752494486,0.5661856828191663,architectural
resnet50_no_weights,CIFAR10,layer2.1.conv3.weight,3,332.0483254184252,340.02852635449284,8.992502245409735,0.027081908135142628,0.45548379706364656,0.6575669378790515,mixed
resnet50_no_weights,CIFAR10,layer2.2.conv1.weight,3,81.89496212272417,70.58661453715007,4.8628482294082644,0.05937908881526821,0.11233855271227956,0.3555904833067809,mixed
resnet50_no_weights,CIFAR10,layer2.2.conv2.weight,3,718.1112950304093,619.883018128363,8.932546382254742,0.012438944275171834,0.9850616140363568,0.6531827306509856,architectural
resnet50_no_weights,CIFAR10,layer2.2.conv3.weight,3,398.71827545822185,365.8984072748519,7.383814159704714,0.01851887564275543,0.5469375996265826,0.5399333727543353,architectural
resnet50_no_weights,CIFAR10,layer2.3.conv1.weight,3,124.40093248218125,120.40097899977036,6.131346010026478,0.04928697790030401,0.17064567036692563,0.44834800268724845,mixed
resnet50_no_weights,CIFAR10,layer2.3.conv2.weight,3,885.8399421720623,952.7383207999645,14.234968423843384,0.016069458765812162,1.2151416211562764,1.040916570474004,architectural
resnet50_no_weights,CIFAR10,layer2.3.conv3.weight,3,382.3539420979679,332.66251995779584,8.920452177524567,0.023330352313299652,0.5244899975013464,0.652298355095276,architectural
resnet50_no_weights,CIFAR10,layer3.0.conv1.weight,3,178.99700255711724,162.13410764586988,43.65346607507444,0.24387819601138175,0.24553725511185168,3.1921121876223495,learned
resnet50_no_weights,CIFAR10,layer3.0.conv2.weight,3,1701.4089463363605,1622.026395959349,39.23602763584682,0.02306090356485644,2.3338898223889104,2.8690918103703034,architectural
resnet50_no_weights,CIFAR10,layer3.0.conv3.weight,3,745.3196082912691,679.1375575226178,31.71719060625349,0.042555153860729354,1.0223843315056795,2.319285037234932,mixed
resnet50_no_weights,CIFAR10,layer3.0.downsample.0.weight,3,858.2560182103068,824.1256067768072,43.36432075500488,0.05052608992527787,1.1773036636596292,3.1709687508423086,mixed
resnet50_no_weights,CIFAR10,layer3.1.conv1.weight,3,245.03615096174119,236.3273109473347,7.742639541625977,0.031597947940485226,0.336125762168116,0.5661720882068322,mixed
resnet50_no_weights,CIFAR10,layer3.1.conv2.weight,3,2519.1808006916553,2709.614276283074,22.998466265828984,0.009129343260918242,3.4556597601958616,1.6817378106361276,architectural
resnet50_no_weights,CIFAR10,layer3.1.conv3.weight,3,1167.0154821737647,1244.3344413051175,12.296621070188635,0.010536810571942104,1.6008412100339202,0.8991770302320945,architectural
resnet50_no_weights,CIFAR10,layer3.2.conv1.weight,3,315.71971201651843,298.03217008168474,12.35165810585022,0.03912222656912845,0.4330851934154797,0.9032015535541099,mixed
resnet50_no_weights,CIFAR10,layer3.2.conv2.weight,3,2698.2873035872854,2722.320657699574,25.60634644135185,0.009489851731989045,3.701347221245065,1.8724362096550893,architectural
resnet50_no_weights,CIFAR10,layer3.2.conv3.weight,3,1978.685281709086,2159.4649600455,13.004492335849339,0.006572289416645749,2.7142407183385098,0.950939345978046,architectural
resnet50_no_weights,CIFAR10,layer3.3.conv1.weight,3,668.7287763430248,837.8603904980636,17.279966680015004,0.02584002257912591,0.9173216635579069,1.2635787533141476,architectural
resnet50_no_weights,CIFAR10,layer3.3.conv2.weight,3,4031.477444792951,3823.363845678536,35.38519489063936,0.00877722754875953,5.530136771558152,2.5875038577130756,architectural
resnet50_no_weights,CIFAR10,layer3.3.conv3.weight,3,1570.7378976120651,1394.681766065005,17.255826626505172,0.010985809060021133,2.1546431860318997,1.2618135381789721,architectural
