model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet18_no_weights,CIFAR10,PTQ,conv1,247.51609717842015,0.20959454774856567,0.00012129314105819773,51.878024448601,84.69,83.79,0.8999999999999915,0.8999999999999915
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,98.5632938808865,0.7561405897140503,2.051162624007298e-05,74.52770715925277,84.69,84.95,-0.2600000000000051,0.2600000000000051
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,66.1002459978252,1.736379623413086,4.710231183303727e-05,114.77512025321606,84.69,84.81,-0.12000000000000455,0.12000000000000455
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,412.05530231839134,0.41718894243240356,1.1316974349837336e-05,171.90491579787403,84.69,84.45,0.23999999999999488,0.23999999999999488
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,38.16212979429662,2.053152084350586,5.569531478815609e-05,78.3526563304177,84.69,84.36,0.3299999999999983,0.3299999999999983
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,241.40687864484215,0.5564993619918823,7.548005669377744e-06,134.3427739463064,84.69,84.63,0.060000000000002274,0.060000000000002274
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,44.170067773394685,4.71184778213501,3.195426284542514e-05,208.1226358748228,84.69,84.48,0.20999999999999375,0.20999999999999375
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,27.7682524841719,1.8216651678085327,0.00022237123630475253,50.58445832132871,84.69,84.27,0.4200000000000017,0.4200000000000017
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,135.14633201669764,1.1596461534500122,7.864353796725885e-06,156.72192407604166,84.69,84.47,0.21999999999999886,0.21999999999999886
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,23.41041773213534,4.910769939422607,3.330329006227354e-05,114.9631756682962,84.69,84.7,-0.010000000000005116,0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,298.6829097482161,1.6147408485412598,5.475331110776298e-06,482.29549513160697,84.69,84.57,0.12000000000000455,0.12000000000000455
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,65.22212153122439,10.003969192504883,1.696093952179783e-05,652.4800944681782,84.69,84.77,-0.0799999999999983,0.0799999999999983
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,28.570971084776374,1.705434799194336,5.2045739721506834e-05,48.72592833475277,84.69,84.51,0.1799999999999926,0.1799999999999926
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,115.4918803539905,4.302940368652344,7.2952954926424554e-06,496.9546742267522,84.69,84.58,0.10999999999999943,0.10999999999999943
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,20.052394958307875,11.071906089782715,1.8771542171533736e-05,222.01823385361718,84.69,84.65,0.03999999999999204,0.03999999999999204
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,107.11717493124682,5.048211097717285,4.27942157127998e-06,540.750111244044,84.69,84.48,0.20999999999999375,0.20999999999999375
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,21.80001952030041,14.926603317260742,6.326719206602623e-06,325.400243688065,84.69,84.71,-0.01999999999999602,0.01999999999999602
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,8.904475974271126,6.02484130859375,4.596589133143425e-05,53.648054681169256,84.69,84.63,0.060000000000002274,0.060000000000002274
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,99.12141607948918,10.315803527832031,4.372407501149509e-06,1022.5170536765011,84.69,84.64,0.04999999999999716,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,2.9768000990504637,15.525243759155273,6.580456101801246e-06,46.21554716003601,84.69,84.71,-0.01999999999999602,0.01999999999999602
resnet18_no_weights,CIFAR10,PTQ,fc,4.487850281519767,1.96467125415802,0.0003837248543277383,8.817150441066865,84.69,84.95,-0.2600000000000051,0.2600000000000051
resnet50_no_weights,CIFAR10,PTQ,conv1,198.86014155890703,0.12864458560943604,7.444709815360882e-05,25.582280505079385,80.56,78.94,1.6200000000000045,1.6200000000000045
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,3.550386864804051,0.8298072218894958,0.0002025896537816152,2.946136660916007,80.56,80.52,0.04000000000000625,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,6.809339960927916,0.5863714218139648,1.5906342822644445e-05,3.99280235450395,80.56,80.59,-0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,2.820760667926133,2.934232473373413,0.00017909133748617023,8.276767551443339,80.56,80.46,0.10000000000000853,0.10000000000000853
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,6.395333078984491,3.1429171562194824,0.00019182843971066177,20.100002053678324,80.56,80.01,0.5499999999999972,0.5499999999999972
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,7.379033232711212,0.42844146490097046,2.6149991754209623e-05,3.1614838077757352,80.56,80.56,0.0,0.0
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,5.815506646706421,0.6760720014572144,1.833962677564058e-05,3.9317012181265434,80.56,80.63,-0.06999999999999318,0.06999999999999318
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,2.33606449771024,3.1700360774993896,0.00019348364730831236,7.405408737106951,80.56,80.52,0.04000000000000625,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,13.99982259941989,0.35916754603385925,2.1921847292105667e-05,5.028281927943007,80.56,80.48,0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,17.633933642767765,0.7813042402267456,2.119423394712309e-05,13.777467126971517,80.56,80.43,0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,5.639535048962975,1.8495348691940308,0.00011288664973108098,10.430516719098888,80.56,80.52,0.04000000000000625,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,45.11287616266679,0.3859567940235138,1.1778466614487115e-05,17.41162105292267,80.56,80.44,0.12000000000000455,0.12000000000000455
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2,65.53349486658813,1.148950219154358,7.791817349950887e-06,75.29472328891742,80.56,80.28,0.28000000000000114,0.28000000000000114
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3,27.146429445195828,3.6423630714416504,5.557804979616776e-05,98.87715213267754,80.56,80.43,0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,37.28741319793839,2.160994529724121,1.6487079847138375e-05,80.57789594830786,80.56,80.41,0.15000000000000568,0.15000000000000568
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1,7.778134935823519,0.6478497982025146,9.885403414955363e-06,5.039063148565196,80.56,80.61,-0.04999999999999716,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2,7.893479633839711,1.1354970932006836,7.70058250054717e-06,8.963023179463788,80.56,80.57,-0.009999999999990905,0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3,9.04311071354666,2.862550735473633,4.36790578532964e-05,25.886363224032483,80.56,80.58,-0.01999999999999602,0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1,8.510224194249147,0.6133673191070557,9.359242540085688e-06,5.219893399026603,80.56,80.44,0.12000000000000455,0.12000000000000455
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2,6.689904456857557,1.1959712505340576,8.110699127428234e-06,8.000933399221298,80.56,80.63,-0.06999999999999318,0.06999999999999318
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3,7.140720098580002,1.020018219947815,1.5564242858090438e-05,7.283664604099159,80.56,80.71,-0.14999999999999147,0.14999999999999147
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1,12.82758917707078,0.6363118886947632,9.70934888755437e-06,8.162347496662411,80.56,80.48,0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2,14.786004506057765,1.4045984745025635,9.525543039975068e-06,20.768399373196765,80.56,80.69,-0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3,9.833495762234644,0.7974762916564941,1.2168522516731173e-05,7.841979734486735,80.56,80.68,-0.12000000000000455,0.12000000000000455
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1,74.80254921346148,1.155250072479248,8.813858585199341e-06,86.41565040048388,80.56,80.58,-0.01999999999999602,0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2,71.26008041961018,3.3941941261291504,5.7545880230868025e-06,241.87054638773174,80.56,80.78,-0.21999999999999886,0.21999999999999886
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3,30.51156226574704,2.4758782386779785,9.444725947105326e-06,75.54291304183126,80.56,80.68,-0.12000000000000455,0.12000000000000455
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,35.59004078005244,3.7950565814971924,7.23849598216475e-06,135.06621849809147,80.56,80.7,-0.14000000000000057,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1,16.264931109232933,1.5029432773590088,5.733273610530887e-06,24.44526886732904,80.56,80.7,-0.14000000000000057,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2,20.075344319522323,3.449777126312256,5.848824609226237e-06,69.25546363633079,80.56,80.61,-0.04999999999999716,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3,13.160199639683675,1.7438921928405762,6.652420779573731e-06,22.949969407867727,80.56,80.56,0.0,0.0
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1,27.15295857708864,1.5016052722930908,5.728169526264537e-06,40.773025757712205,80.56,80.65,-0.09000000000000341,0.09000000000000341
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2,18.580145780092632,3.8643763065338135,6.5517447688358115e-06,71.80067512453418,80.56,80.62,-0.060000000000002274,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3,13.66934905822426,1.730047345161438,6.599606876989128e-06,23.648621048265884,80.56,80.48,0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1,48.494124914737455,1.4352957010269165,5.475218586070696e-06,69.60340901518495,80.56,80.57,-0.009999999999990905,0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2,30.482990834448074,3.8470730781555176,6.522408511955291e-06,117.27029338086658,80.56,80.55,0.010000000000005116,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3,15.52744052996711,1.8221403360366821,6.95091375746415e-06,28.29317570506387,80.56,80.59,-0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1,56.2926301152458,1.3179652690887451,5.027638508181553e-06,74.19173139755313,80.56,80.76,-0.20000000000000284,0.20000000000000284
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2,21.355671073866795,3.7166619300842285,6.301306711975485e-06,79.37180967164169,80.56,80.38,0.18000000000000682,0.18000000000000682
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3,15.82547358945638,1.425818920135498,5.439067535917275e-06,22.56425966395154,80.56,80.47,0.09000000000000341,0.09000000000000341
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1,49.64860931120057,1.2490419149398804,4.7647167775721755e-06,62.01319404816394,80.56,80.56,0.0,0.0
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2,6.9776278192870285,3.633517265319824,6.16034150071856e-06,25.35333115235533,80.56,80.55,0.010000000000005116,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3,6.748947550292221,1.235762357711792,4.714059286925476e-06,8.340095336822337,80.56,80.59,-0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1,59.85094537468855,2.3019657135009766,4.390651156427339e-06,137.7748241731529,80.56,80.49,0.07000000000000739,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2,14.778032136381718,10.155057907104492,4.30427462561056e-06,150.07177209800744,80.56,80.45,0.10999999999999943,0.10999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3,10.788910367074514,4.445934772491455,4.239973804942565e-06,47.96679175827013,80.56,80.53,0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,77.25073855980895,8.89318561553955,4.240601356286788e-06,687.0051569498995,80.56,80.2,0.35999999999999943,0.35999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1,32.48862404836101,6.117690086364746,5.834283911099192e-06,198.75533326028943,80.56,80.56,0.0,0.0
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2,100.45276997884116,11.048253059387207,4.682860081730824e-06,1109.8276232426513,80.56,80.53,0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3,20.713097787786413,5.138381481170654,4.900342446489958e-06,106.43179809043855,80.56,80.61,-0.04999999999999716,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1,33.22050706567773,5.095481872558594,4.8594301915727556e-06,169.27449155036555,80.56,80.35,0.21000000000000796,0.21000000000000796
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2,11.135050203824283,9.913061141967773,4.201703025804211e-06,110.38243348939083,80.56,80.61,-0.04999999999999716,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3,5.688572607448282,4.508733749389648,4.2998635763069615e-06,25.64825930105554,80.56,80.58,-0.01999999999999602,0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,fc,5.51621466619639,1.9603662490844727,9.572100825607776e-05,10.813801054316174,80.56,80.46,0.10000000000000853,0.10000000000000853
cnn,CIFAR10,PTQ,conv1,381.1021010720282,1.078646183013916,0.0012484330821920324,411.07432665992684,80.03,69.47,10.560000000000002,10.560000000000002
cnn,CIFAR10,PTQ,conv2,809.0236602783203,1.2535020112991333,6.800683655051721e-05,1014.1127853474612,80.03,78.51,1.519999999999996,1.519999999999996
cnn,CIFAR10,PTQ,conv3,335.6015227422614,7.018991470336914,9.520116469098462e-05,2355.584225560013,80.03,79.25,0.7800000000000011,0.7800000000000011
cnn,CIFAR10,PTQ,conv4,21.05638250524069,32.16675567626953,0.00010907238659759362,677.3155114721535,80.03,79.89,0.14000000000000057,0.14000000000000057
cnn,CIFAR10,PTQ,fc1,12.890434598931922,9.188928604125977,8.763245205045678e-06,118.4492832057407,80.03,80.11,-0.0799999999999983,0.0799999999999983
cnn,CIFAR10,PTQ,fc2,5.3861620696009815,2.1343696117401123,0.00020843453239649534,11.496060645263567,80.03,79.71,0.3200000000000074,0.3200000000000074
resnet18_no_weights,CIFAR10,QAT,conv1,176.5696902967706,0.23259574174880981,0.0001346040172157464,41.06935808493498,84.69,90.05,-5.359999999999999,5.359999999999999
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,62.1869188163885,0.7567124366760254,2.052713858170642e-05,47.057614866923515,84.69,89.84,-5.150000000000006,5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,40.26396065962435,1.7405531406402588,4.721552573351396e-05,70.081563180725,84.69,89.56,-4.8700000000000045,4.8700000000000045
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,237.28851199863615,0.42245107889175415,1.1459718936950796e-05,100.2427879024428,84.69,89.98,-5.290000000000006,5.290000000000006
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,25.69627236407637,2.0505497455596924,5.562472183050381e-05,52.69148475798936,84.69,89.82,-5.1299999999999955,5.1299999999999955
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,158.79528317416495,0.5602487325668335,7.598859762462477e-06,88.96485613591733,84.69,89.88,-5.189999999999998,5.189999999999998
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,32.20201639213798,4.71138858795166,3.195114873556627e-05,151.71621253895117,84.69,90.05,-5.359999999999999,5.359999999999999
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,16.42103757035847,1.8253289461135864,0.00022281847486738116,29.973795202394037,84.69,89.84,-5.150000000000006,5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,103.65838204598168,1.1619492769241333,7.879972852404333e-06,120.44578206545398,84.69,89.84,-5.150000000000006,5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2,13.711104633539788,4.907201290130615,3.32790886103693e-05,67.28315034682231,84.69,89.96,-5.269999999999996,5.269999999999996
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,199.65321696975067,1.619551658630371,5.491643807747298e-06,323.34869869424904,84.69,89.8,-5.109999999999999,5.109999999999999
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2,44.03292701436185,10.00156021118164,1.6956855284257068e-05,440.3979708087067,84.69,89.98,-5.290000000000006,5.290000000000006
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0,19.13500092085972,1.7075552940368652,5.211045208852738e-05,32.674072123814305,84.69,89.91,-5.219999999999999,5.219999999999999
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,78.92371910640172,4.302252292633057,7.294128914104982e-06,339.54975146864416,84.69,89.7,-5.010000000000005,5.010000000000005
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,12.91431520478658,11.06822395324707,1.8765299399900767e-05,142.93853288940167,84.69,89.84,-5.150000000000006,5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,69.25562169774877,5.050237655639648,4.281139505716662e-06,349.7573485627051,84.69,89.81,-5.1200000000000045,5.1200000000000045
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,15.897620331487884,14.923433303833008,6.325375579763204e-06,237.24707670661903,84.69,89.79,-5.1000000000000085,5.1000000000000085
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,5.751884955285925,6.026165962219238,4.597599763656035e-05,34.66181333614497,84.69,89.75,-5.060000000000002,5.060000000000002
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,64.98416925740038,10.317547798156738,4.373146819287083e-06,670.4772724367361,84.69,89.75,-5.060000000000002,5.060000000000002
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,2.1577937338544038,15.525166511535645,6.580423359991983e-06,33.500107015637845,84.69,89.72,-5.030000000000001,5.030000000000001
resnet18_no_weights,CIFAR10,QAT,fc,3.4087345679850167,1.9481372833251953,0.0003804955631494522,6.640682900851014,84.69,89.93,-5.240000000000009,5.240000000000009
resnet50_no_weights,CIFAR10,QAT,conv1,182.45261551704243,0.1318042278289795,7.62755948084372e-05,24.048026103601458,80.56,81.91,-1.3499999999999943,1.3499999999999943
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1,2.5875467722185355,0.8289011120796204,0.00020236843556631356,2.144820397049976,80.56,80.82,-0.2599999999999909,0.2599999999999909
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2,4.553684417122886,0.585870623588562,1.589275780133903e-05,2.667869929085303,80.56,80.4,0.1599999999999966,0.1599999999999966
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,1.932803308083011,2.9343085289001465,0.00017909597954712808,5.671441231594397,80.56,80.3,0.2600000000000051,0.2600000000000051
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0,5.43820253622398,3.145984649658203,0.00019201566465198994,17.10850170069295,80.56,80.4,0.1599999999999966,0.1599999999999966
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1,3.751579643273281,0.42729300260543823,2.607989517855458e-05,1.603023730287679,80.56,80.43,0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2,2.943458876649853,0.6757228374481201,1.8330155095706385e-05,1.9889623840416948,80.56,80.48,0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,1.370170859685783,3.1699929237365723,0.00019348101341165602,4.343431929513987,80.56,80.36,0.20000000000000284,0.20000000000000284
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1,5.986122035866821,0.35696473717689514,2.178739850933198e-05,2.13683447924202,80.56,80.2,0.35999999999999943,0.35999999999999943
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2,10.90255405105223,0.7818417549133301,2.1208814966181915e-05,8.52407199231211,80.56,80.72,-0.1599999999999966,0.1599999999999966
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,3.5968734560461124,1.8481624126434326,0.00011280288163106889,6.647606324499304,80.56,80.57,-0.009999999999990905,0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1,38.7063199499604,0.38861334323883057,1.1859538062708452e-05,15.041792400225956,80.56,80.78,-0.21999999999999886,0.21999999999999886
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2,46.44564640772195,1.154247522354126,7.82774198645105e-06,53.60977229024888,80.56,80.89,-0.3299999999999983,0.3299999999999983
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3,19.909505385065835,3.641273021697998,5.556141695706174e-05,72.49594483399123,80.56,80.89,-0.3299999999999983,0.3299999999999983
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0,37.40147261201037,2.161837577819824,1.6493511793669313e-05,80.855908958443,80.56,81.01,-0.45000000000000284,0.45000000000000284
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1,5.684635307554537,0.6482105255126953,9.890907676890492e-06,3.6848404400579486,80.56,80.37,0.18999999999999773,0.18999999999999773
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2,5.811959503321512,1.1362980604171753,7.706014407126026e-06,6.6041183108474035,80.56,80.49,0.07000000000000739,0.07000000000000739
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3,5.900287204465749,2.8628458976745605,4.368356167105958e-05,16.89161301840647,80.56,80.52,0.04000000000000625,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1,7.024775906757072,0.6129791140556335,9.353319001093041e-06,4.30604091176331,80.56,80.48,0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2,5.548897742519819,1.1950883865356445,8.104711822751495e-06,6.631423250159291,80.56,80.41,0.15000000000000568,0.15000000000000568
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3,5.488121303465477,1.0184910297393799,1.5540939784841612e-05,5.589602317701182,80.56,80.46,0.10000000000000853,0.10000000000000853
