model,dataset,stage,layer,trace
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,36.8774197101593
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,17.37513641210703
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,74.91010437011718
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,12.66791826135972
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,58.68976670724374
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,14.47679934501648
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,5.7323469638824465
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,63.50481343269348
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,1.8423540932791573
resnet18_no_weights,CIFAR10,QAT,fc.weight,3.0751060485839843
resnet50_no_weights,CIFAR10,FP32,conv1.weight,15.650477691130204
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,4.246457748725766
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,4.01071435213089
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,2.8663517134530205
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,18.30695436311805
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,2.80751564543126
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,3.7022862873579325
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,2.3638419195225366
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,5.278092642625173
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,15.184124310811361
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,6.193775445727979
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,11.521414567684305
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,25.667235985780373
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,25.532839854558308
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,32.83859716142927
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,3.4103783652895974
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,7.120198738007319
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,8.766523141127367
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,4.7722535602974165
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,7.493166254914326
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,5.3577915321696885
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,6.537943750619888
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,13.604017787509495
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,8.025686230924395
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,38.20856994628906
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,38.26543854607476
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,23.64026485170637
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,38.41396743059158
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,6.985295136769612
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,20.00538450738658
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,13.452203865051269
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,12.695808274405342
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,26.013990720113117
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,12.904933280944825
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,18.648714260621503
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,32.30105113983154
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv3.weight,14.589519394768608
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv1.weight,18.101533184880797
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv2.weight,31.0161470933394
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv3.weight,15.940939326618993
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv1.weight,16.819107399612175
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv2.weight,14.06078503049653
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv3.weight,7.349780527750651
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,28.056613674870245
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,16.52467746734619
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv3.weight,11.818880685170491
resnet50_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,35.80861248288836
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,29.04885629926409
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,60.328831548276156
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv3.weight,21.52670587812151
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv1.weight,24.443645477294922
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv2.weight,11.005586177110672
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv3.weight,5.734841975298795
resnet50_no_weights,CIFAR10,FP32,fc.weight,5.358583244410428
resnet50_no_weights,CIFAR10,PTQ,conv1.weight,773.5120555019379
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,8.509598033533234
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,13.870096303522587
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3.weight,6.725997627750039
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0.weight,2.197690185159445
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,16.840085202013142
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,3.425675021168196
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3.weight,1.0225927285624272
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1.weight,12.825954306732726
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2.weight,0.9375045553677612
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3.weight,0.6251445077359676
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,9.227847979714474
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,2.039576740935445
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3.weight,0.4863501570054463
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,0.7444925527183377
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,0.9161876572798642
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,0.19653718333691358
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3.weight,0.5669428423429147
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1.weight,0.8434540996307968
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2.weight,0.19462952823181387
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3.weight,0.20900721705573447
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1.weight,0.7091665836409308
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2.weight,0.1739839786744636
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3.weight,0.1733343512590589
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,0.4920517481863499
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,0.46383570986134665
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,0.8652514719537326
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,1.5968214689299118
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,0.0978479992884856
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,0.159520223736763
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,0.48074254393577576
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,0.12950641865080054
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,0.1147797666490078
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,0.7157884523982093
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,0.11324838750685255
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,0.22845508081790727
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,1.0704889446496964
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,0.052497953442590575
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,0.12069277702407404
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3.weight,0.8065582265456518
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1.weight,0.05739364326291252
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2.weight,0.03254986831615137
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3.weight,0.276520088061013
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,1.270235401345417
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,0.17673616903577594
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3.weight,0.9211384668014944
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,61.47644531025606
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,1.2572000133804977
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,1.8518663044661692
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3.weight,115.47456084357367
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1.weight,0.08977107691100321
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2.weight,0.2341599726830335
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3.weight,0.1944591379724443
resnet50_no_weights,CIFAR10,PTQ,fc.weight,22.38190656900406
resnet50_no_weights,CIFAR10,QAT,conv1.weight,105.7605525970459
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,1.1549249338476282
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,2.339948063546961
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3.weight,1.0904227232231813
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0.weight,2.9837186998791165
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,2.369169704914093
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,1.4091054541724068
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3.weight,0.7322739362716675
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1.weight,3.852243664313336
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2.weight,4.488181822153987
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3.weight,1.9125024995942046
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,20.348229429938577
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,22.49580250615659
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3.weight,9.27129316329956
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,15.704230010509491
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,2.0860274831453958
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,2.2167667051156363
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3.weight,3.3547217362635844
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1.weight,3.440725869145887
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2.weight,2.4298959516343617
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3.weight,2.9951217530066505
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1.weight,4.657643141065325
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2.weight,5.784729220650413
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3.weight,3.8129889550416367
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,37.44229360727164
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,35.75499934534873
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3.weight,17.106733745998806
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,21.037256240844727
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,8.569999644630833
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,10.512850761413574
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3.weight,8.29788638563717
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1.weight,11.69697117805481
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2.weight,12.111375649770102
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3.weight,7.784340456912392
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1.weight,27.901448170344036
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2.weight,18.19339707493782
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3.weight,14.820144335428873
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1.weight,30.42534828186035
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2.weight,11.7931421654565
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3.weight,9.356004506349564
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1.weight,28.431426525115967
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2.weight,5.3579166809717815
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3.weight,4.959168056646983
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,41.633962631225586
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,8.327679321169853
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3.weight,7.474203513218806
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,61.846545934677124
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,26.2081880569458
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,81.28070531572614
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3.weight,17.5254536819458
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1.weight,30.54084477057824
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2.weight,9.008365688323975
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3.weight,5.7571670850118
resnet50_no_weights,CIFAR10,QAT,fc.weight,5.1006368147699455
