model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,4,layer3.0.conv1,fc;layer4.1.conv2;layer2.0.conv1;layer3.0.conv1,3.836884936302184,90.62,90.6,-0.020000000000010232
resnet18_no_weights,CIFAR10,QAT,cumulative_low_outlier,5,conv1,fc;layer4.1.conv2;layer2.0.conv1;layer3.0.conv1;conv1,3.9084495439436546,90.62,90.57,-0.05000000000001137
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,1,layer4.2.conv3,layer4.2.conv3,inf,11.81,11.8,-0.009999999999999787
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,2,layer4.0.conv3,layer4.2.conv3;layer4.0.conv3,3908.9582274348586,11.81,11.6,-0.21000000000000085
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,3,layer3.5.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3,1428.708284602328,11.81,11.67,-0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,4,layer3.2.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3;layer3.2.conv3,355.1902487950237,11.81,11.72,-0.08999999999999986
resnet50_no_weights,CIFAR10,PTQ,cumulative_top_outlier,5,layer3.4.conv3,layer4.2.conv3;layer4.0.conv3;layer3.5.conv3;layer3.2.conv3;layer3.4.conv3,315.1390770452239,11.81,14.0,2.1899999999999995
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,1,conv1,conv1,3.475991166742895,11.81,11.76,-0.05000000000000071
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,2,fc,conv1;fc,3.493588286706467,11.81,10.68,-1.1300000000000008
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,3,layer1.2.conv1,conv1;fc;layer1.2.conv1,3.8273287148818116,11.81,10.68,-1.1300000000000008
