model,dataset,stage,layer,eigenvalue
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,26.13865089416504
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,6.033365249633789
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,3.307520627975464
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,9.957008361816406
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,2.188271999359131
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,8.516695022583008
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,2.544965982437134
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,0.9447586536407471
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,9.777705192565918
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,0.3292413353919983
resnet18_no_weights,CIFAR10,QAT,fc.weight,0.5781194567680359
resnet50_no_weights,CIFAR10,FP32,conv1.weight,4.183690071105957
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,1.957218885421753
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,2.145860195159912
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,0.6367883086204529
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,4.52342414855957
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,0.895728588104248
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,1.0273295640945435
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,0.5953224897384644
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,1.7098662853240967
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,4.364665508270264
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,2.0344295501708984
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,6.675644874572754
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,9.953078269958496
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,8.231682777404785
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,8.813291549682617
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,1.0099592208862305
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,2.191664218902588
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,2.1504952907562256
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,1.4579664468765259
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,2.0339126586914062
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,1.4766268730163574
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,1.4812159538269043
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,3.9064860343933105
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,1.8244895935058594
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,11.589736938476562
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,6.695865631103516
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,4.415953636169434
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,5.036929607391357
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,1.5034079551696777
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,2.8000497817993164
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,2.0276718139648438
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,2.042360305786133
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,2.8979363441467285
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,1.734676480293274
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,2.8291070461273193
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,4.8554277420043945
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv3.weight,2.317560911178589
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv1.weight,3.3254623413085938
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv2.weight,5.154574394226074
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv3.weight,2.8689348697662354
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv1.weight,5.529046058654785
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv2.weight,3.140007495880127
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv3.weight,1.0363506078720093
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,6.445564270019531
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,2.485323905944824
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv3.weight,1.2980871200561523
resnet50_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,4.452719688415527
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,2.972764492034912
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,5.878437042236328
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv3.weight,2.1385498046875
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv1.weight,2.8398334980010986
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv2.weight,1.510758638381958
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv3.weight,0.6416997909545898
resnet50_no_weights,CIFAR10,FP32,fc.weight,0.7872318029403687
resnet50_no_weights,CIFAR10,PTQ,conv1.weight,1255.1834716796875
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,8.51693344116211
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,18.896577835083008
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3.weight,5.505864143371582
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0.weight,2.175321578979492
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,16.077241897583008
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,4.219118118286133
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3.weight,1.1049213409423828
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1.weight,11.633997917175293
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2.weight,0.9451581239700317
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3.weight,0.7618359923362732
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,8.420242309570312
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,1.7131620645523071
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3.weight,0.3791080117225647
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,0.3652074635028839
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,0.6703923940658569
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,0.1763063669204712
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3.weight,0.3602832555770874
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1.weight,0.760141134262085
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2.weight,0.14333194494247437
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3.weight,0.20575186610221863
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1.weight,0.49370914697647095
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2.weight,0.05248967930674553
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3.weight,0.07945910096168518
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,0.16744089126586914
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,0.13586296141147614
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,0.22875122725963593
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,0.6332603693008423
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,0.056912340223789215
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,0.06310619413852692
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,0.25258684158325195
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,0.031300030648708344
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,0.03255543112754822
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,0.18164123594760895
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,0.039225488901138306
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,0.04880823194980621
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,0.32106101512908936
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,0.016231719404459
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,0.039711277931928635
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3.weight,0.33490270376205444
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1.weight,0.05416817218065262
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2.weight,0.01651223935186863
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3.weight,0.10987628996372223
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,0.9504598379135132
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,0.10402524471282959
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3.weight,0.35097360610961914
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,28.58173370361328
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,0.8153381943702698
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,0.8403065204620361
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3.weight,60.05909729003906
