model,dataset,variant,layer,layer_type,numel,trace_raw,trace_per_param,elev_raw,elev_per_param,raw_vs_numel_slope,raw_vs_numel_r2,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,14.137865960597992,0.00818163539386458,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,13.302233065877642,0.007698051542753265,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,16.363703876071504,0.009469736039393231,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,conv,1728,14.60126763418238,0.008449807658670358,1.0283915871499003,129.13643908927634,0.29986858002244876,0.3714645777445647,aggregate,3,1.5824685506283764
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,3.554247159706919,0.000867736122975322,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,4.7987989485263824,0.0011715817745425738,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,4.06991520906106,0.0009936316428371728,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,conv,4096,4.140987105764787,0.0010109831801183562,0.29165661562802975,15.450620077212596,0.29986858002244876,0.3714645777445647,aggregate,3,0.6253124815955864
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,4.263462866053862,0.00011565383208696457,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,4.158682875714059,0.00011281149293929197,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,3.3226645390192666,9.01330441357223e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,conv,36864,3.914936760262396,0.00010619945638732628,0.2757355134736684,1.6230215154074,0.29986858002244876,0.3714645777445647,aggregate,3,0.5155914076437902
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.9797678206648146,0.00018187059452299894,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.76557702367956,0.0001687974257616919,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.8546064159144526,0.0001742313486275911,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,conv,16384,2.866650420086276,0.000174966456304094,0.20190296138500538,2.6739715316473354,0.29986858002244876,0.3714645777445647,aggregate,3,0.10760212779337965
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,19.749549229939777,0.0012054168231164415,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,15.836316390471024,0.000966572045316835,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,16.283196407815684,0.000993847437000469,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,conv,16384,17.289687342742162,0.0010552787684779152,1.217741462809904,16.12757921985632,0.29986858002244876,0.3714645777445647,aggregate,3,2.1419887524310326
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.6094389280607535,0.0001592675126990206,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.3034548399583348,0.0001405917260716757,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.8446234981218974,0.0001736220396802916,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,conv,16384,2.5858390887136617,0.00015782709281699596,0.1821249518316499,2.412034638124142,0.29986858002244876,0.3714645777445647,aggregate,3,0.27135510582545547
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,conv,36864,3.498269236087799,9.489662641297198e-05,,,,,42,3,
