model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",2.4517285863558453,0.00014964163735082064,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",2.5585177103678385,0.00015615952822069327,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",2.451803127924601,0.00014964618700711677,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",2.487349808216095,0.0001518157841928769,"42,43,44",aggregate,3,0.06163322246663298
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",25.084124342600504,0.0007655067243225251,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",22.798022667566936,0.0006957404378529949,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",18.85257455577021,0.0005753349168631046,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",22.244907188645882,0.0006788606930128748,"42,43,44",aggregate,3,3.1523809630504234
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",62.68584340413411,0.0004251155829815953,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",76.61094781626825,0.0005195512411585033,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",63.16921043395996,0.0004283936254473196,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",67.48866721812078,0.0004576868165291394,"42,43,44",aggregate,3,7.903822708340824
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",35.96156727826154,0.0005487299694558951,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",37.43205040379574,0.0005711677612883872,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",37.34076019695827,0.0005697747832787822,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",36.91145929300519,0.0005632241713410215,"42,43,44",aggregate,3,0.8238959917498152
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",120.93564705226733,0.0009226657642537485,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",122.81596506053003,0.0009370114521829989,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",87.43358635902405,0.0006670653256151127,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",110.3950661572738,0.0008422475140172867,"42,43,44",aggregate,3,19.907437425422764
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",11.541091918945312,0.00017610308714210987,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",13.104821883715116,0.00019996371282524287,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",17.39017573269931,0.00026535302326506513,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",14.012029845119912,0.00021380660774413928,"42,43,44",aggregate,3,3.0282362984098405
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",40.62499335833958,0.00027550586858682985,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",32.307617060343425,0.00021910005059369185,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",37.113847970962524,0.0002516943899940492,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",36.68215279654851,0.00024876676972485697,"42,43,44",aggregate,3,4.175458976367307
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",18.381136894226074,0.00028047389059793204,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",21.60100655806692,0.0003296052026072223,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",27.907300186157226,0.0004258316068444401,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",22.629814546150072,0.0003453035666831981,"42,43,44",aggregate,3,4.845697181355013
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",10.15640590108674,0.00015497445527781282,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",8.343964131673177,0.00012731878863026698,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",8.943703428904216,0.0001364700840592074,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",9.148024487221377,0.00013958777598909572,"42,43,44",aggregate,3,0.9233345076583167
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",11.839774042367935,8.029360651562456e-05,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",8.329751077451204,5.648973983731557e-05,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",9.132174762812527,6.193152372784103e-05,44,44,3,
