model,dataset,spike_layer,descriptor,spearman_vs_residual,partial_corr_controlling_numel,spike_A_share,spike_G_share,resolution_contrast_ratio,hypothesis_supported
resnet50_no_weights,IMAGENET100,conv1,output_map,-0.14559497342359592,0.4268131612995902,-2.7479690689040983,3.7479690689040983,nan,undetermined
resnet50_no_weights,IMAGENET100,conv1,fan_in,-0.016744588964026395,0.013239953371881958,-2.7479690689040983,3.7479690689040983,nan,undetermined
resnet50_no_weights,IMAGENET100,conv1,tr_A_prev,0.28611179940015025,0.26700794103633635,-2.7479690689040983,3.7479690689040983,nan,undetermined
resnet18_no_weights,IMAGENET100,conv1,output_map,0.1827736841854139,0.1222310125717529,-1.9025438150274465,2.9025438150274465,nan,undetermined
resnet18_no_weights,IMAGENET100,conv1,fan_in,0.05731827284291252,-0.03509504503017545,-1.9025438150274465,2.9025438150274465,nan,undetermined
resnet18_no_weights,IMAGENET100,conv1,tr_A_prev,0.3818181818181818,-0.16763112267052752,-1.9025438150274465,2.9025438150274465,nan,undetermined
cnn,IMAGENET100,conv1,output_map,0.3188740696088466,-0.49357788754342974,27.665282571891158,-26.665282571891158,nan,undetermined
cnn,IMAGENET100,conv1,fan_in,-0.08696565534786727,-0.6725306657274344,27.665282571891158,-26.665282571891158,nan,undetermined
cnn,IMAGENET100,conv1,tr_A_prev,-0.2571428571428572,0.04108683330053073,27.665282571891158,-26.665282571891158,nan,undetermined
cnn,IMAGENET100,conv2,output_map,0.3188740696088466,-0.49357788754342974,-3.270369905619709,4.2703699056197095,nan,undetermined
cnn,IMAGENET100,conv2,fan_in,-0.08696565534786727,-0.6725306657274344,-3.270369905619709,4.2703699056197095,nan,undetermined
cnn,IMAGENET100,conv2,tr_A_prev,-0.2571428571428572,0.04108683330053073,-3.270369905619709,4.2703699056197095,nan,undetermined
