epoch,total_s,train_s,val_s
1,120.694,111.558,9.136
2,117.485,110.097,7.388
3,117.637,110.13,7.506
4,117.043,109.602,7.441
5,116.238,108.81,7.428
6,117.65,109.989,7.661
7,114.938,107.868,7.07
8,108.261,101.275,6.986
9,107.108,100.102,7.006
10,108.423,101.433,6.99
11,107.932,100.944,6.989
12,108.398,101.384,7.013
13,108.421,101.419,7.002
14,108.093,101.091,7.002
15,107.973,100.866,7.107
16,107.726,100.735,6.991
17,108.073,101.08,6.992
18,108.046,100.899,7.146
19,108.271,101.259,7.012
20,107.199,100.219,6.98
21,107.56,100.576,6.984
22,109.769,102.705,7.064
23,107.957,100.88,7.078
24,108.223,101.23,6.993
25,107.503,100.45,7.054
26,108.112,101.126,6.986
27,107.957,100.892,7.065
28,107.93,100.834,7.095
29,107.88,100.863,7.017
30,107.469,100.489,6.979
31,108.268,101.256,7.012
32,108.377,101.381,6.995
33,108.338,101.299,7.039
34,107.534,100.487,7.047
35,108.727,101.723,7.004
36,108.772,101.64,7.133
37,110.142,102.948,7.194
38,110.813,103.649,7.164
39,109.426,102.308,7.119
40,110.45,103.292,7.158
41,110.377,103.077,7.3
42,109.961,102.727,7.233
43,111.842,104.645,7.197
44,110.354,103.246,7.108
45,110.392,103.318,7.074
46,110.187,103.094,7.094
47,110.425,103.24,7.186
48,113.738,106.563,7.175
49,112.318,105.103,7.216
50,111.001,103.871,7.13
51,111.485,104.248,7.236
52,111.44,104.225,7.215
53,111.366,104.192,7.174
54,110.684,103.456,7.227
55,110.884,103.756,7.128
56,112.202,104.878,7.324
57,109.979,102.721,7.258
58,109.378,102.276,7.102
59,111.398,104.193,7.205
60,110.795,103.572,7.223
61,110.554,103.444,7.11
62,110.512,103.357,7.155
63,109.742,102.643,7.099
64,110.561,103.433,7.128
65,110.1,102.902,7.199
66,110.782,103.507,7.274
67,110.827,103.69,7.137
68,109.648,102.504,7.144
69,110.381,103.28,7.101
70,111.076,103.898,7.178
71,110.724,103.577,7.148
72,109.593,102.534,7.059
73,111.849,104.806,7.044
74,111.183,104.113,7.07
75,110.1,102.938,7.163
76,111.096,103.973,7.123
77,110.983,103.812,7.171
78,110.452,103.39,7.063
79,110.12,102.998,7.122
80,110.829,103.717,7.112
81,110.185,103.079,7.107
82,110.265,103.152,7.114
83,110.285,103.183,7.101
84,110.996,103.818,7.178
85,110.867,103.663,7.203
86,110.855,103.779,7.076
87,111.064,103.964,7.1
88,110.559,103.441,7.117
89,111.487,104.404,7.083
90,110.215,103.044,7.17
91,111.162,104.022,7.14
92,110.433,103.282,7.152
93,110.528,103.404,7.124
94,112.43,105.346,7.085
95,109.935,102.82,7.115
96,112.246,105.107,7.139
97,111.701,104.638,7.063
98,110.046,102.975,7.071
99,111.433,104.331,7.102
100,110.088,102.983,7.105
101,110.927,103.771,7.155
102,109.971,102.896,7.075
103,111.086,104.021,7.065
104,109.878,102.693,7.185
105,111.865,104.722,7.143
106,110.99,103.899,7.091
107,111.196,104.021,7.176
108,110.583,103.403,7.179
109,110.46,103.315,7.145
110,109.602,102.632,6.97
111,107.883,100.805,7.077
112,108.044,101.018,7.026
113,107.584,100.598,6.986
114,108.32,101.275,7.044
115,107.468,100.461,7.007
116,108.968,101.928,7.039
117,107.708,100.655,7.054
118,109.135,101.947,7.187
119,107.708,100.686,7.021
120,108.49,101.353,7.136
121,108.348,101.294,7.054
122,108.04,100.996,7.044
123,109.588,102.58,7.008
124,108.562,101.41,7.153
125,108.566,101.502,7.065
126,108.586,101.555,7.032
127,109.61,102.617,6.993
128,109.447,102.396,7.051
129,109.591,102.574,7.017
130,110.524,103.336,7.189
131,111.181,103.964,7.217
132,113.963,105.917,8.046
133,117.121,109.536,7.584
134,117.722,110.103,7.619
135,118.37,110.656,7.714
136,119.034,111.449,7.585
137,117.655,110.043,7.613
138,117.621,110.163,7.457
139,118.909,111.382,7.527
140,119.83,112.204,7.627
141,117.755,110.138,7.618
142,118.543,111.022,7.521
143,118.028,110.323,7.705
144,118.344,110.711,7.633
145,118.901,111.517,7.384
146,118.707,111.133,7.574
147,119.555,111.85,7.705
148,117.831,110.168,7.663
149,117.982,110.831,7.151
150,119.168,111.582,7.586
151,119.724,112.02,7.704
152,118.495,110.924,7.571
153,120.111,112.645,7.467
154,117.966,110.446,7.519
155,118.025,110.69,7.336
156,119.024,111.516,7.507
157,119.821,112.265,7.556
158,117.505,109.93,7.575
159,118.239,110.634,7.605
160,119.032,111.362,7.67
161,118.452,110.844,7.608
162,117.746,110.181,7.565
163,117.553,110.057,7.496
