epoch,total_s,train_s,val_s
1,26.185,23.988,2.197
2,25.812,23.732,2.079
3,25.914,23.846,2.067
4,25.875,23.808,2.067
5,25.806,23.746,2.06
6,25.811,23.729,2.082
7,25.878,23.819,2.059
8,25.785,23.721,2.064
9,25.657,23.583,2.074
10,25.886,23.796,2.09
11,25.9,23.817,2.083
12,25.858,23.791,2.067
13,25.771,23.693,2.077
14,25.739,23.663,2.076
15,25.621,23.548,2.073
16,25.706,23.618,2.088
17,25.813,23.744,2.069
18,25.834,23.736,2.098
19,25.812,23.737,2.076
20,25.782,23.699,2.083
21,25.824,23.746,2.077
22,25.858,23.777,2.081
23,25.749,23.676,2.073
24,25.86,23.787,2.073
25,25.908,23.819,2.088
26,25.839,23.759,2.081
27,25.726,23.646,2.08
