epoch,total_s,train_s,val_s
1,112.159,104.06,8.098
2,109.07,101.973,7.097
3,109.248,102.215,7.033
4,108.746,101.744,7.002
5,108.958,101.99,6.968
6,107.758,100.764,6.994
7,107.242,100.268,6.974
8,110.401,103.327,7.074
9,109.429,102.399,7.03
10,109.538,102.409,7.129
11,108.875,101.863,7.012
12,107.83,100.94,6.89
13,107.816,100.823,6.993
14,109.8,102.731,7.068
15,109.778,102.752,7.025
16,108.909,101.852,7.057
17,108.147,101.173,6.975
18,107.325,100.305,7.019
19,108.798,101.821,6.978
20,108.743,101.787,6.956
21,110.061,103.022,7.04
22,108.233,101.227,7.006
23,109.225,102.176,7.049
24,107.676,100.714,6.962
25,110.042,102.902,7.139
26,109.531,102.5,7.031
27,110.431,103.343,7.088
28,110.171,103.105,7.066
29,110.45,103.389,7.061
30,108.963,101.953,7.01
31,109.628,102.608,7.02
32,109.102,102.045,7.057
33,108.31,101.241,7.07
34,109.678,102.703,6.974
35,109.465,102.408,7.057
36,108.334,101.273,7.061
37,108.387,101.321,7.066
38,107.81,100.798,7.012
39,107.299,100.183,7.117
40,108.259,101.1,7.16
