model,dataset,stage,layer,eigenvalue
cnn,IMAGENET100,FP32,conv1.weight,14.364880561828613
cnn,IMAGENET100,FP32,conv2.weight,48.2864273071289
cnn,IMAGENET100,FP32,conv3.weight,109.21824798583984
cnn,IMAGENET100,FP32,conv4.weight,8.387295532226563
cnn,IMAGENET100,FP32,fc1.weight,1.16524795293808
cnn,IMAGENET100,FP32,fc2.weight,1.197248673439026
cnn,IMAGENET100,PTQ,conv1.weight,305.26939697265624
cnn,IMAGENET100,PTQ,conv2.weight,451.9958251953125
cnn,IMAGENET100,PTQ,conv3.weight,371.9895324707031
cnn,IMAGENET100,PTQ,conv4.weight,1.138936185836792
cnn,IMAGENET100,PTQ,fc1.weight,4.895643997192383
cnn,IMAGENET100,PTQ,fc2.weight,5.53334493637085
cnn,IMAGENET100,QAT,conv1.weight,29.724187469482423
cnn,IMAGENET100,QAT,conv2.weight,80.63719024658204
cnn,IMAGENET100,QAT,conv3.weight,124.943994140625
cnn,IMAGENET100,QAT,conv4.weight,0.4756424784660339
cnn,IMAGENET100,QAT,fc1.weight,0.6888527631759643
cnn,IMAGENET100,QAT,fc2.weight,0.9499840915203095
resnet18_no_weights,IMAGENET100,FP32,conv1.weight,75.13402099609375
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv1.weight,38.52967910766601
resnet18_no_weights,IMAGENET100,FP32,layer1.0.conv2.weight,10.002801513671875
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv1.weight,18.001477813720705
resnet18_no_weights,IMAGENET100,FP32,layer1.1.conv2.weight,12.502827644348145
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv1.weight,64.2060157775879
resnet18_no_weights,IMAGENET100,FP32,layer2.0.conv2.weight,18.75491943359375
resnet18_no_weights,IMAGENET100,FP32,layer2.0.downsample.0.weight,34.42894649505615
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv1.weight,11.32220001220703
resnet18_no_weights,IMAGENET100,FP32,layer2.1.conv2.weight,9.674160861968994
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv1.weight,19.003528594970703
resnet18_no_weights,IMAGENET100,FP32,layer3.0.conv2.weight,10.704684352874756
resnet18_no_weights,IMAGENET100,FP32,layer3.0.downsample.0.weight,3.0410298228263857
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv1.weight,3.7370996475219727
resnet18_no_weights,IMAGENET100,FP32,layer3.1.conv2.weight,1.6464279055595399
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv1.weight,9.347619593143463
resnet18_no_weights,IMAGENET100,FP32,layer4.0.conv2.weight,7.4771898746490475
resnet18_no_weights,IMAGENET100,FP32,layer4.0.downsample.0.weight,2.5908706724643706
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv1.weight,4.1597686290740965
resnet18_no_weights,IMAGENET100,FP32,layer4.1.conv2.weight,2.1132127165794374
resnet18_no_weights,IMAGENET100,FP32,fc.weight,0.8524852901697159
resnet18_no_weights,IMAGENET100,PTQ,conv1.weight,2712.5361572265624
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,286.17116394042966
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,36.1553539276123
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,107.30925750732422
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,16.81935520172119
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,418.8256591796875
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,8.20758581161499
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,34.02425422668457
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,28.555305099487306
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,9.042399406433105
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,55.3974006652832
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,11.57761459350586
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,4.356194615364075
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,11.16675033569336
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,2.085813570022583
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,14.89874725341797
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv2.weight,3.0806866765022276
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0.weight,2.7887646317481996
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv1.weight,12.922485446929931
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv2.weight,0.0230793371796608
resnet18_no_weights,IMAGENET100,PTQ,fc.weight,1.5011393785476685
