model,dataset,stage,accuracy,precision,recall,f1
cnn,CIFAR10,FP32,80.03000020980835,82.66875743865967,80.03000020980835,80.17462491989136
cnn,CIFAR10,PTQ,66.06000065803528,74.23499822616577,66.06000065803528,65.92393517494202
cnn,CIFAR10,QAT,85.21999716758728,85.211181640625,85.21999716758728,85.1970374584198
resnet18_no_weights,CIFAR10,FP32,84.68999862670898,86.19458079338074,84.68999862670898,84.8490297794342
resnet18_no_weights,CIFAR10,PTQ,82.3199987411499,84.73126888275146,82.3199987411499,82.5485348701477
resnet18_no_weights,CIFAR10,QAT,90.6499981880188,90.6593918800354,90.6499981880188,90.64494967460632
resnet50_no_weights,CIFAR10,FP32,80.55999875068665,80.4743766784668,80.55999875068665,80.09672164916992
resnet50_no_weights,CIFAR10,PTQ,11.730000376701355,5.198667198419571,11.730000376701355,4.392589256167412
resnet50_no_weights,CIFAR10,QAT,84.72000360488892,84.61729288101196,84.72000360488892,84.65043306350708
