model,dataset,stage,layer,trace
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,41.07765463778847
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,17.79926428301581
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,66.62996902465821
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,13.37340559065342
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,58.386617846605255
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,12.813797616958619
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,6.077285557985306
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,58.795301379579485
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,2.137415112675847
resnet18_no_weights,CIFAR10,QAT,fc.weight,2.0886221826076508
resnet50_no_weights,CIFAR10,FP32,conv1.weight,16.271800588159
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,3.998845670066896
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,4.4096690773963925
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,2.410613715648651
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,18.892626020643448
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,2.191071925063928
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,3.1765500020980837
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,2.2894598760388116
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,4.367840491808378
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,8.808550999082367
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,6.625641766716452
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,14.399195728879986
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,27.419955018540502
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,26.03701889514923
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,33.47721213764615
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,3.7816521571232724
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,6.8594160079956055
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,8.151765823364258
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,5.990711847941081
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,8.77782358293948
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,7.574225902557373
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,5.3972120101635275
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,15.067711611588797
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,9.178504687983816
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,44.966873486836754
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,33.28448534011841
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,29.312755369370983
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,43.53705180775035
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,9.116899967193604
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,22.35108385859309
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,12.872954096112933
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,12.481038236618042
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,24.80327214135064
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,13.17433302576949
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,18.015183226267496
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,39.194724559783936
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv3.weight,15.887787788145003
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv1.weight,17.425026484898158
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv2.weight,31.95709193836559
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv3.weight,17.862385392189026
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv1.weight,18.91768513227764
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv2.weight,13.678462461991744
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv3.weight,5.755603660236705
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,29.8168554659243
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,16.896685773676094
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv3.weight,12.203945801175873
resnet50_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,44.01590576171875
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,23.855117162068684
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,51.82410383224487
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv3.weight,21.84684365371178
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv1.weight,22.920593551967453
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv2.weight,11.526172806234921
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv3.weight,5.571798594792684
resnet50_no_weights,CIFAR10,FP32,fc.weight,5.156326711177826
resnet50_no_weights,CIFAR10,PTQ,conv1.weight,1321.8663521749634
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,10.211901239491999
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,25.268316927272828
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3.weight,6.723098037143548
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0.weight,2.367344525953134
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,15.644985367311165
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,5.538092591646892
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3.weight,1.3931922158060064
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1.weight,12.968645120368285
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2.weight,1.218849148019217
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3.weight,1.2082520821131766
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,9.376469046026468
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,2.1170804973910835
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3.weight,0.7657142343192265
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,0.8792139980942011
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,0.49539226355652016
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,0.21739817153224172
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3.weight,0.6776079091048518
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1.weight,1.0075258355771686
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2.weight,0.2255886419097314
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3.weight,0.3386342612405618
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1.weight,0.6633667898822134
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2.weight,0.12546353414654732
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3.weight,0.2046757592463199
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,0.5702565461397171
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,0.40117682951192063
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,0.7085963431745768
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,1.463408044406346
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,0.1497648826489846
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,0.18141117244958876
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,0.9809739291667938
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,0.11406533097227414
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,0.11804135702550411
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,0.6805340873472618
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,0.14703630283474922
