model,dataset,stage,fp32_acc,weights_only_acc,activations_only_acc,full_acc,weight_loss_pts,activation_loss_pts,total_loss_pts,dominant_source
cnn,CIFAR10,PTQ,80.01,66.22,79.77,66.01,13.790000000000006,0.2400000000000091,14.0,weight
cnn,CIFAR10,QAT,80.01,85.3,80.12,85.19,-5.289999999999992,-0.10999999999999943,-5.179999999999993,activation
resnet18_no_weights,CIFAR10,PTQ,84.69,82.43,84.7,82.27,2.259999999999991,-0.010000000000005116,2.4200000000000017,weight
resnet18_no_weights,CIFAR10,QAT,84.69,90.54,89.84,90.62,-5.8500000000000085,-5.150000000000006,-5.930000000000007,activation
resnet50_no_weights,CIFAR10,PTQ,80.56,75.46,10.05,11.8,5.1000000000000085,70.51,68.76,activation
