model,dataset,stage,config,batch,fp32_latency_ms,int8_latency_ms,fp32_throughput_ips,int8_throughput_ips,speedup_x
resnet50_no_weights,IMAGENET100,QAT,int8_dynamic_act,64,19.53990664333105,23.235134314745665,3275.3482996728203,2754.4493237288416,0.8409637912413737
resnet50_no_weights,IMAGENET100,QAT,int8_weight_only,128,37.37337468191981,36.787092220038176,3424.898101640332,3479.481314651924,1.0159371786814475
resnet50_no_weights,IMAGENET100,QAT,int8_dynamic_act,128,37.37337468191981,42.031191289424896,3424.898101640332,3045.3574137025466,0.8891819036145903
resnet50_no_weights,IMAGENET100,QAT,int8_weight_only,256,72.62282585725188,71.6703780926764,3525.0624989888997,3571.9080436406853,1.013289280591542
resnet50_no_weights,IMAGENET100,QAT,int8_dynamic_act,256,72.62282585725188,79.48377961292863,3525.0624989888997,3220.782922587135,0.9136810832463136
resnet50_no_weights,IMAGENET100,QAT,int8_weight_only,512,142.7479055710137,140.8829241991043,3586.7426422259637,3634.223259565584,1.013237809922753
resnet50_no_weights,IMAGENET100,QAT,int8_dynamic_act,512,142.7479055710137,153.40442163869739,3586.7426422259637,3337.5830665812064,0.9305331883276335
resnet50_no_weights,IMAGENET100,QAT,int8_weight_only,1024,282.9891578294337,279.20414274558425,3618.513189177362,3667.5673574553184,1.0135564431337911
resnet50_no_weights,IMAGENET100,QAT,int8_dynamic_act,1024,282.9891578294337,300.48084864392877,3618.513189177362,3407.871099343988,0.9417876683541225
resnet50_no_weights,IMAGENET100,QAT,int8_weight_only,2048,563.9422228559852,556.3166122883558,3631.5776989143815,3681.3569013798556,1.0137073213331922
resnet50_no_weights,IMAGENET100,QAT,int8_dynamic_act,2048,563.9422228559852,656.2854116782546,3631.5776989143815,3120.5935154993763,0.8592941619925252
